win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
1, 443, 3, 4, 6, 730050, 845400, 0.48, 75, 500, 32, 27, 300, 2, 39, 36
1, 538, 5, 8, 9, 1005975, 1021125, 0.48, 75, 500, 32, 35, 300, 2, 39, 36
1, 722, 5, 8, 10, 1462425, 1534725, 0.48, 75, 500, 32, 52, 300, 2, 39, 36
1, 833, 2, 5, 7, 995625, 1393725, 0.48, 75, 500, 32, 55, 300, 2, 39, 36
1, 907, 10, 12, 13, 1574025, 1780500, 0.48, 75, 500, 32, 63, 300, 2, 39, 36
1, 679, 7, 9, 10, 1415550, 1503075, 0.48, 75, 500, 32, 41, 300, 2, 39, 36
1, 1260, 8, 10, 14, 2412300, 2557125, 0.48, 75, 500, 32, 93, 300, 2, 39, 36
1, 1719, 11, 21, 21, 1983450, 2440875, 0.48, 75, 500, 32, 109, 300, 2, 39, 36
1, 1746, 7, 18, 12, 1944000, 2305425, 0.48, 75, 500, 32, 120, 300, 2, 39, 36
1, 1888, 8, 12, 22, 3092175, 3213375, 0.48, 75, 500, 32, 143, 300, 2, 39, 36
1, 606, 3, 4, 6, 1394100, 1467900, 0.48, 75, 500, 32, 38, 300, 2, 39, 36
1, 1417, 7, 13, 12, 1812975, 2235750, 0.48, 75, 500, 32, 100, 300, 2, 39, 36
1, 2139, 8, 18, 21, 2880300, 2996175, 0.48, 75, 500, 32, 164, 300, 2, 39, 36
1, 814, 7, 12, 11, 1413300, 1474950, 0.48, 75, 500, 32, 43, 300, 2, 39, 36
1, 2120, 3, 13, 13, 3064650, 3300975, 0.48, 75, 500, 32, 138, 300, 2, 39, 36
1, 933, 4, 6, 7, 1148175, 1507425, 0.48, 75, 500, 32, 63, 300, 2, 39, 36
0, 7800, 9, 58, 63, 10054275, 9369225, 0.48, 75, 500, 32, 637, 300, 2, 39, 36
0, 7800, 4, 41, 41, 10095075, 9275625, 0.48, 75, 500, 32, 649, 300, 2, 39, 36
0, 7800, 4, 55, 57, 9804825, 9312225, 0.48, 75, 500, 32, 644, 300, 2, 39, 36
0, 7800, 6, 52, 44, 9951900, 9014025, 0.48, 75, 500, 32, 650, 300, 2, 39, 36
0, 7800, 4, 44, 43, 10316925, 9367875, 0.48, 75, 500, 32, 651, 300, 2, 39, 36
0, 7800, 5, 65, 49, 10239675, 9355050, 0.48, 75, 500, 32, 660, 300, 2, 39, 36
0, 7800, 2, 43, 52, 9624150, 9170325, 0.48, 75, 500, 32, 661, 300, 2, 39, 36
0, 7800, 4, 49, 61, 9972300, 9397725, 0.48, 75, 500, 32, 664, 300, 2, 39, 36
0, 7800, 3, 51, 52, 10152150, 9109650, 0.48, 75, 500, 32, 669, 300, 2, 39, 36
0, 7800, 4, 77, 59, 10395975, 9536250, 0.48, 75, 500, 32, 674, 300, 2, 39, 36
0, 7800, 5, 54, 48, 9965400, 9598950, 0.48, 75, 500, 32, 684, 300, 2, 39, 36
0, 7800, 2, 53, 55, 9772875, 8716800, 0.48, 75, 500, 32, 689, 300, 2, 39, 36
0, 7800, 5, 65, 44, 10764825, 9656925, 0.48, 75, 500, 32, 686, 300, 2, 39, 36
0, 7800, 4, 48, 54, 10433850, 9849825, 0.48, 75, 500, 32, 704, 300, 2, 39, 36
1, 571, 6, 7, 9, 1182000, 1272300, 0.48, 75, 500, 32, 44, 300, 2, 39, 36
1, 696, 4, 7, 9, 1234575, 1277625, 0.48, 75, 500, 32, 54, 300, 2, 39, 36
0, 7800, 6, 41, 61, 9787275, 9766800, 0.48, 75, 500, 32, 697, 300, 2, 39, 36
0, 7800, 5, 61, 39, 10537800, 9158775, 0.48, 75, 500, 32, 679, 300, 2, 39, 36
0, 7800, 5, 54, 55, 10739400, 9458775, 0.48, 75, 500, 32, 678, 300, 2, 39, 36
0, 7800, 8, 68, 52, 9639750, 9027075, 0.48, 75, 500, 32, 664, 300, 2, 39, 36
1, 893, 4, 9, 9, 1511550, 1626900, 0.48, 75, 500, 32, 74, 300, 2, 39, 36
1, 1548, 10, 15, 20, 2129250, 2616075, 0.48, 75, 500, 32, 126, 300, 2, 39, 36
1, 745, 7, 13, 13, 1407075, 1407975, 0.48, 75, 500, 32, 54, 300, 2, 39, 36
0, 7800, 6, 55, 57, 10402425, 9590400, 0.48, 75, 500, 32, 684, 300, 2, 39, 36
1, 1051, 5, 7, 10, 1305600, 1657500, 0.48, 75, 500, 32, 78, 300, 2, 39, 36
0, 7800, 1, 44, 46, 9822075, 8744400, 0.48, 75, 500, 32, 688, 300, 2, 39, 36
1, 2268, 3, 17, 18, 3012900, 3122175, 0.48, 75, 500, 32, 178, 300, 2, 39, 36
0, 7800, 1, 45, 50, 9955650, 9386400, 0.48, 75, 500, 32, 678, 300, 2, 39, 36
0, 7800, 4, 56, 55, 10113825, 8990400, 0.48, 75, 500, 32, 697, 300, 2, 39, 36
1, 1044, 3, 4, 9, 1345575, 1603125, 0.48, 75, 500, 32, 79, 300, 2, 39, 36
1, 795, 3, 4, 6, 1390200, 1538625, 0.48, 75, 500, 32, 60, 300, 2, 39, 36
0, 7800, 6, 61, 61, 10368900, 9159825, 0.48, 75, 500, 32, 702, 300, 2, 39, 36
1, 946, 8, 9, 10, 2217150, 2237100, 0.48, 75, 500, 32, 74, 300, 2, 39, 36
1, 1598, 4, 10, 12, 1977375, 2291550, 0.48, 75, 500, 32, 105, 300, 2, 39, 36
0, 7800, 10, 63, 58, 10188075, 9212925, 0.48, 75, 500, 32, 691, 300, 2, 39, 36
1, 5922, 4, 41, 46, 7476525, 7554525, 0.48, 75, 500, 32, 455, 300, 2, 39, 36
1, 4781, 4, 30, 21, 6007575, 6237675, 0.48, 75, 500, 32, 357, 300, 2, 39, 36
0, 6239, 4, 43, 29, 8422125, 6529425, 0.48, 75, 500, 32, 491, 300, 2, 39, 36
1, 582, 1, 2, 4, 1227225, 1277100, 0.48, 75, 500, 32, 45, 300, 2, 39, 36
1, 814, 3, 6, 9, 1181850, 1251375, 0.48, 75, 500, 32, 56, 300, 2, 39, 36
0, 7800, 7, 62, 60, 10178325, 9280350, 0.48, 75, 500, 32, 638, 300, 2, 39, 36
0, 7800, 5, 55, 49, 9610725, 8981025, 0.48, 75, 500, 32, 648, 300, 2, 39, 36
0, 7800, 10, 54, 65, 9933000, 9018375, 0.48, 75, 500, 32, 653, 300, 2, 39, 36
0, 7800, 8, 53, 53, 10619925, 9971175, 0.48, 75, 500, 32, 675, 300, 2, 39, 36
0, 7800, 2, 59, 47, 10279275, 8756775, 0.48, 75, 500, 32, 668, 300, 2, 39, 36
0, 7800, 6, 52, 53, 9581700, 9055425, 0.48, 75, 500, 32, 631, 300, 2, 39, 36
0, 7800, 3, 50, 52, 10010175, 9041775, 0.48, 75, 500, 32, 641, 300, 2, 39, 36
0, 7800, 2, 60, 49, 10010475, 9022275, 0.48, 75, 500, 32, 648, 300, 2, 39, 36
0, 7800, 4, 55, 54, 8958975, 9403200, 0.48, 75, 500, 32, 652, 300, 2, 39, 36
0, 7800, 7, 49, 53, 8915925, 9276450, 0.48, 75, 500, 32, 619, 300, 2, 39, 36
1, 669, 3, 7, 5, 1123575, 1133775, 0.48, 75, 500, 32, 46, 300, 2, 39, 36
0, 7800, 7, 63, 55, 9893175, 9303000, 0.48, 75, 500, 32, 635, 300, 2, 39, 36
1, 764, 3, 7, 7, 828300, 1318275, 0.48, 75, 500, 32, 57, 300, 2, 39, 36
1, 476, 5, 6, 9, 831300, 961350, 0.48, 75, 500, 32, 30, 300, 2, 39, 36
0, 2448, 4, 21, 8, 3338700, 1501425, 0.48, 75, 500, 32, 194, 300, 2, 39, 36
1, 872, 3, 5, 7, 1503825, 1666425, 0.48, 75, 500, 32, 63, 300, 2, 39, 36
1, 1328, 4, 7, 10, 1635525, 2088525, 0.48, 75, 500, 32, 100, 300, 2, 39, 36
0, 7800, 5, 60, 55, 9406200, 8805825, 0.48, 75, 500, 32, 631, 300, 2, 39, 36
1, 1257, 3, 9, 9, 1785675, 1907925, 0.48, 75, 500, 32, 94, 300, 2, 39, 36
1, 1392, 7, 12, 13, 1822725, 2160150, 0.48, 75, 500, 32, 100, 300, 2, 39, 36
1, 579, 3, 6, 6, 969150, 1149450, 0.48, 75, 500, 32, 40, 300, 2, 39, 36
1, 1744, 8, 23, 14, 2498400, 2628750, 0.48, 75, 500, 32, 133, 300, 2, 39, 36
0, 7800, 3, 54, 47, 9914775, 9439275, 0.48, 75, 500, 32, 643, 300, 2, 39, 36
0, 7800, 8, 50, 57, 10122150, 9475275, 0.48, 75, 500, 32, 654, 300, 2, 39, 36
1, 620, 4, 5, 9, 1146075, 1160100, 0.48, 75, 500, 32, 43, 300, 2, 39, 36
1, 1450, 5, 9, 14, 2019900, 2349225, 0.48, 75, 500, 32, 107, 300, 2, 39, 36
1, 954, 5, 8, 9, 1720800, 1904175, 0.48, 75, 500, 32, 72, 300, 2, 39, 36
1, 1582, 5, 9, 9, 1199700, 1734150, 0.48, 75, 500, 23, 67, 300, 2, 39, 36
0, 7772, 6, 47, 52, 10419075, 8559900, 0.48, 75, 500, 32, 670, 300, 2, 39, 36
1, 1190, 4, 9, 9, 1133400, 1400775, 0.48, 75, 500, 23, 50, 300, 2, 39, 36
1, 1054, 3, 7, 8, 1136400, 1363350, 0.48, 75, 500, 23, 42, 300, 2, 39, 36
0, 7800, 14, 67, 64, 10055850, 9225375, 0.48, 75, 500, 32, 643, 300, 2, 39, 36
1, 1882, 8, 19, 13, 2733075, 2880975, 0.48, 75, 500, 32, 147, 300, 2, 39, 36
0, 7800, 2, 47, 38, 10118175, 9395850, 0.48, 75, 500, 32, 632, 300, 2, 39, 36
0, 7800, 5, 55, 49, 8886825, 9319125, 0.48, 75, 500, 32, 623, 300, 2, 39, 36
1, 1160, 5, 11, 9, 1302450, 1381350, 0.48, 75, 500, 23, 46, 300, 2, 39, 36
1, 757, 4, 8, 12, 918075, 952800, 0.48, 75, 500, 23, 31, 300, 2, 39, 36
1, 2095, 10, 18, 25, 2923275, 3334275, 0.48, 75, 500, 32, 168, 300, 2, 39, 36
0, 7800, 10, 59, 62, 10329450, 8581125, 0.48, 75, 500, 32, 644, 300, 2, 39, 36
1, 1088, 7, 10, 14, 639900, 1278150, 0.48, 75, 500, 23, 46, 300, 2, 39, 36
1, 2331, 10, 31, 19, 3118575, 3323550, 0.48, 75, 500, 32, 183, 300, 2, 39, 36
1, 797, 5, 8, 9, 1082175, 1236150, 0.48, 75, 500, 23, 36, 300, 2, 39, 36
1, 7390, 2, 41, 52, 9499575, 9719625, 0.48, 75, 500, 32, 644, 300, 2, 39, 36
0, 7800, 2, 46, 45, 9745200, 9474600, 0.48, 75, 500, 32, 650, 300, 2, 39, 36
1, 1357, 2, 7, 12, 1195875, 1321650, 0.48, 75, 500, 23, 52, 300, 2, 39, 36
