win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 775, 6, 7, 7, 1075650, 936975, 0.44, 75, 500, 23, 23, 300, 20, 63, 21
0, 619, 3, 4, 4, 1088775, 954975, 0.44, 75, 500, 23, 24, 300, 20, 53, 33
0, 516, 3, 4, 4, 644550, 243900, 0.44, 75, 500, 23, 20, 300, 20, 49, 37
0, 625, 2, 3, 3, 837000, 306150, 0.44, 75, 500, 23, 25, 300, 20, 48, 13
0, 774, 2, 4, 5, 963825, 739125, 0.44, 75, 500, 23, 29, 300, 20, 31, 26
0, 800, 5, 9, 6, 977925, 342750, 0.44, 75, 500, 23, 27, 300, 20, 55, 24
0, 741, 3, 4, 4, 1224600, 1089750, 0.44, 75, 500, 23, 31, 300, 20, 43, 36
0, 374, 1, 2, 2, 646575, 100650, 0.44, 75, 500, 23, 13, 300, 20, 49, 33
0, 1119, 2, 4, 11, 1272750, 1095300, 0.44, 75, 500, 23, 39, 300, 20, 16, 57
0, 408, 1, 2, 2, 536925, 40725, 0.44, 75, 500, 23, 13, 300, 20, 50, 46
0, 1015, 2, 4, 10, 1055700, 993900, 0.44, 75, 500, 23, 37, 300, 20, 42, 52
0, 525, 3, 4, 4, 880800, 835725, 0.44, 75, 500, 23, 19, 300, 20, 32, 39
0, 1602, 6, 16, 10, 1752900, 1196400, 0.44, 75, 500, 23, 59, 300, 20, 71, 47
0, 1527, 7, 17, 10, 2138250, 1605975, 0.44, 75, 500, 23, 57, 300, 20, 45, 17
0, 1584, 11, 18, 12, 2283975, 1605450, 0.44, 75, 500, 23, 66, 300, 20, 47, 30
0, 1818, 7, 16, 9, 2162625, 1576275, 0.44, 75, 500, 23, 70, 300, 20, 65, 18
0, 2098, 6, 16, 12, 2369775, 2030100, 0.44, 75, 500, 23, 80, 300, 20, 58, 25
0, 2114, 6, 24, 18, 2386500, 1760625, 0.44, 75, 500, 23, 79, 300, 20, 28, 21
0, 2192, 7, 24, 20, 2706600, 1970250, 0.44, 75, 500, 23, 92, 300, 20, 63, 45
0, 2829, 5, 21, 12, 2856825, 2096400, 0.44, 75, 500, 23, 96, 300, 20, 44, 26
0, 420, 4, 5, 5, 559050, 265650, 0.44, 75, 500, 23, 15, 300, 20, 28, 56
0, 915, 3, 7, 11, 1260900, 924750, 0.44, 75, 500, 23, 41, 300, 20, 20, 13
0, 1051, 4, 14, 6, 1205025, 539100, 0.44, 75, 500, 23, 37, 300, 20, 59, 30
0, 2844, 7, 21, 24, 3228000, 2175150, 0.44, 75, 500, 23, 118, 300, 20, 25, 41
0, 686, 2, 3, 3, 873825, 462300, 0.44, 75, 500, 23, 25, 300, 20, 62, 28
0, 2964, 17, 30, 24, 3741525, 2812650, 0.44, 75, 500, 23, 111, 300, 20, 51, 23
0, 2979, 8, 25, 23, 2850075, 2209350, 0.44, 75, 500, 23, 108, 300, 20, 56, 43
0, 2732, 6, 13, 25, 3097425, 2368875, 0.44, 75, 500, 23, 111, 300, 20, 24, 57
0, 656, 0, 1, 3, 998025, 852300, 0.44, 75, 500, 23, 28, 300, 20, 31, 46
0, 3801, 7, 19, 35, 3908925, 2812125, 0.44, 75, 500, 23, 158, 300, 20, 21, 46
0, 792, 3, 4, 4, 585300, 148500, 0.44, 75, 500, 23, 32, 300, 20, 42, 17
0, 4296, 4, 22, 33, 4482525, 3586500, 0.44, 75, 500, 23, 173, 300, 20, 28, 44
0, 4388, 3, 23, 37, 4308375, 3583875, 0.44, 75, 500, 23, 175, 300, 20, 16, 22
0, 568, 1, 2, 2, 768225, 676800, 0.44, 75, 500, 23, 17, 300, 20, 62, 30
0, 3724, 2, 15, 37, 3919575, 2714175, 0.44, 75, 500, 23, 152, 300, 20, 17, 45
0, 548, 3, 6, 4, 893775, 670350, 0.44, 75, 500, 23, 19, 300, 20, 19, 28
0, 3253, 7, 21, 28, 3519150, 2797050, 0.44, 75, 500, 23, 119, 300, 20, 28, 35
0, 4406, 4, 28, 33, 4804725, 3587400, 0.44, 75, 500, 23, 181, 300, 20, 20, 20
0, 3748, 7, 23, 28, 3805725, 2956950, 0.44, 75, 500, 23, 139, 300, 20, 35, 52
0, 5087, 9, 44, 47, 4908900, 3827550, 0.44, 75, 500, 23, 196, 300, 20, 24, 29
0, 993, 3, 5, 4, 1383525, 982875, 0.44, 75, 500, 23, 38, 300, 20, 60, 31
0, 4765, 6, 38, 28, 4756800, 4144950, 0.44, 75, 500, 23, 176, 300, 20, 31, 20
0, 609, 2, 4, 4, 764700, 734475, 0.44, 75, 500, 23, 19, 300, 20, 47, 23
0, 5318, 3, 44, 35, 6075900, 4453425, 0.44, 75, 500, 23, 211, 300, 20, 35, 33
0, 1406, 7, 11, 9, 1934625, 1616550, 0.44, 75, 500, 23, 52, 300, 20, 50, 40
0, 4506, 5, 37, 21, 4915800, 3682875, 0.44, 75, 500, 23, 179, 300, 20, 29, 18
0, 1004, 2, 7, 4, 1127025, 552000, 0.44, 75, 500, 23, 41, 300, 20, 61, 43
0, 3547, 6, 27, 25, 3729900, 2760225, 0.44, 75, 500, 23, 144, 300, 20, 33, 42
