win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
1, 19731, 231, 238, 242, 46055247, 46440689, 0.48, 75, 500, 32, 1486, 18750, 5, 23, 14
1, 19507, 285, 287, 289, 47178287, 47340448, 0.48, 75, 500, 32, 1507, 18750, 5, 28, 56
1, 19812, 250, 253, 258, 46969263, 47058432, 0.48, 75, 500, 32, 1522, 18750, 5, 41, 32
1, 19697, 249, 252, 254, 45815324, 46002980, 0.48, 75, 500, 32, 1559, 18750, 5, 58, 49
1, 19558, 258, 267, 261, 46213880, 46448175, 0.48, 75, 500, 32, 1583, 18750, 5, 20, 57
1, 19841, 246, 255, 250, 45864809, 46100816, 0.48, 75, 500, 32, 1598, 18750, 5, 38, 16
0, 20444, 239, 253, 242, 48071348, 46336847, 0.48, 75, 500, 32, 1618, 18750, 5, 36, 17
1, 19916, 244, 251, 252, 47023650, 47091913, 0.48, 75, 500, 32, 1728, 18750, 5, 44, 61
1, 22103, 250, 275, 277, 49424959, 49728020, 0.48, 75, 500, 32, 1791, 18750, 5, 30, 32
0, 23009, 237, 281, 253, 50981138, 49774995, 0.48, 75, 500, 32, 1840, 18750, 5, 34, 15
1, 22565, 225, 254, 246, 49912149, 50048875, 0.48, 75, 500, 32, 1909, 18750, 5, 31, 18
0, 25400, 271, 306, 317, 54015493, 53077557, 0.48, 75, 500, 32, 2021, 18750, 5, 36, 45
0, 26250, 263, 308, 316, 53454027, 53222886, 0.48, 75, 500, 32, 2047, 18750, 5, 30, 33
0, 26250, 250, 294, 328, 54186779, 53595194, 0.48, 75, 500, 32, 2179, 18750, 5, 15, 31
0, 26250, 231, 298, 268, 54343153, 53334109, 0.48, 75, 500, 32, 2238, 18750, 5, 38, 29
1, 19629, 246, 251, 253, 46107564, 46202044, 0.48, 75, 500, 32, 1536, 18750, 5, 73, 56
1, 19536, 242, 243, 249, 46070314, 46563176, 0.48, 75, 500, 32, 1554, 18750, 5, 57, 47
1, 20189, 260, 276, 275, 47070589, 47234676, 0.48, 75, 500, 32, 1644, 18750, 5, 45, 48
1, 19252, 249, 252, 255, 45412731, 45474909, 0.48, 75, 500, 32, 1525, 18750, 5, 52, 40
1, 19831, 259, 268, 263, 46552322, 46796858, 0.48, 75, 500, 32, 1561, 18750, 5, 58, 20
0, 21719, 262, 287, 275, 49930634, 48748496, 0.48, 75, 500, 32, 1820, 18750, 5, 50, 32
0, 20944, 241, 256, 252, 48140006, 47406022, 0.48, 75, 500, 32, 1648, 18750, 5, 28, 13
1, 20425, 256, 260, 267, 46877100, 47549862, 0.48, 75, 500, 32, 1679, 18750, 5, 49, 57
0, 26250, 244, 300, 302, 53857940, 53418254, 0.48, 75, 500, 32, 2132, 18750, 5, 54, 49
1, 21121, 266, 275, 291, 47915508, 48270027, 0.48, 75, 500, 32, 1676, 18750, 5, 27, 39
0, 26250, 289, 354, 321, 55050176, 54488526, 0.48, 75, 500, 32, 2208, 18750, 5, 56, 24
0, 26250, 266, 309, 314, 53643042, 52989978, 0.48, 75, 500, 32, 2160, 18750, 5, 53, 55
0, 26250, 247, 291, 315, 54882119, 53795082, 0.48, 75, 500, 32, 2213, 18750, 5, 33, 50
0, 26250, 248, 314, 313, 53910835, 53534355, 0.48, 75, 500, 32, 2132, 18750, 5, 68, 56
0, 26250, 246, 300, 326, 54947567, 54214235, 0.48, 75, 500, 32, 2173, 18750, 5, 30, 56
1, 19637, 258, 265, 269, 46728376, 46782613, 0.48, 75, 500, 32, 1613, 18750, 5, 28, 18
1, 19536, 248, 254, 257, 46062780, 46316863, 0.48, 75, 500, 32, 1575, 18750, 5, 57, 41
0, 25558, 256, 307, 288, 54126147, 52678033, 0.48, 75, 500, 32, 2042, 18750, 5, 65, 55
0, 26250, 284, 327, 338, 55107862, 54376650, 0.48, 75, 500, 32, 2226, 18750, 5, 47, 48
0, 26250, 215, 299, 251, 54662126, 53759111, 0.48, 75, 500, 32, 2080, 18750, 5, 58, 33
0, 26250, 239, 299, 290, 53436850, 52362089, 0.48, 75, 500, 32, 2214, 18750, 5, 46, 38
0, 24199, 264, 313, 288, 51624506, 50215714, 0.48, 75, 500, 32, 1937, 18750, 5, 63, 43
1, 19968, 233, 238, 242, 45507941, 46193917, 0.48, 75, 500, 32, 1707, 18750, 5, 47, 40
0, 21005, 242, 266, 250, 48735501, 47596713, 0.48, 75, 500, 32, 1677, 18750, 5, 65, 38
0, 26250, 246, 309, 296, 55861047, 54826507, 0.48, 75, 500, 32, 2021, 18750, 5, 53, 46
0, 26250, 217, 303, 252, 53825591, 53447747, 0.48, 75, 500, 32, 2170, 18750, 5, 54, 19
0, 26250, 268, 329, 320, 54776312, 54222823, 0.48, 75, 500, 32, 2213, 18750, 5, 40, 37
0, 26250, 254, 303, 301, 55448171, 55439407, 0.48, 75, 500, 32, 2306, 18750, 5, 53, 38
0, 26250, 256, 321, 307, 53602086, 52553037, 0.48, 75, 500, 32, 2146, 18750, 5, 21, 18
0, 26250, 268, 339, 318, 55543475, 54851074, 0.48, 75, 500, 32, 2325, 18750, 5, 37, 28
0, 21070, 237, 252, 248, 49006429, 47759486, 0.48, 75, 500, 32, 1679, 18750, 5, 25, 27
0, 21529, 275, 308, 284, 49565690, 48594839, 0.48, 75, 500, 32, 1751, 18750, 5, 63, 15
0, 22397, 248, 278, 266, 49783581, 48938240, 0.48, 75, 500, 32, 1822, 18750, 5, 48, 34
0, 26250, 243, 284, 292, 54713159, 54252414, 0.48, 75, 500, 32, 2224, 18750, 5, 29, 44
0, 26250, 246, 277, 329, 54512819, 53870323, 0.48, 75, 500, 32, 2111, 18750, 5, 22, 57
0, 24277, 245, 294, 269, 53318126, 51802186, 0.48, 75, 500, 32, 1950, 18750, 5, 23, 16
1, 20540, 244, 258, 255, 47410552, 47506475, 0.48, 75, 500, 32, 1670, 18750, 5, 33, 25
0, 26250, 255, 298, 325, 54634445, 53931160, 0.48, 75, 500, 32, 2084, 18750, 5, 36, 54
0, 26250, 255, 326, 290, 55386325, 55121448, 0.48, 75, 500, 32, 2251, 18750, 5, 53, 20
1, 18927, 233, 234, 237, 46247626, 46298419, 0.48, 75, 500, 32, 1538, 18750, 5, 38, 36
1, 19132, 257, 258, 262, 46653940, 46772284, 0.48, 75, 500, 32, 1613, 18750, 5, 22, 51
0, 23661, 260, 305, 280, 53236650, 51978378, 0.48, 75, 500, 32, 1851, 18750, 5, 37, 14
0, 26250, 258, 338, 291, 54793727, 53595463, 0.48, 75, 500, 32, 2258, 18750, 5, 34, 13
1, 19276, 257, 261, 261, 45507173, 45753579, 0.48, 75, 500, 32, 1593, 18750, 5, 17, 43
0, 26250, 250, 323, 294, 54839383, 53812424, 0.48, 75, 500, 32, 2137, 18750, 5, 58, 32
0, 25506, 266, 322, 309, 53808763, 52483453, 0.48, 75, 500, 32, 2064, 18750, 5, 57, 46
1, 19625, 241, 245, 246, 46524685, 46809708, 0.48, 75, 500, 32, 1560, 18750, 5, 61, 29
0, 20901, 288, 305, 291, 47972739, 46548602, 0.48, 75, 500, 32, 1666, 18750, 5, 51, 28
1, 19532, 229, 230, 236, 47118519, 47196771, 0.48, 75, 500, 32, 1615, 18750, 5, 26, 40
0, 20911, 239, 263, 251, 48347189, 46912906, 0.48, 75, 500, 32, 1717, 18750, 5, 57, 26
1, 21050, 266, 274, 268, 48210583, 48959580, 0.48, 75, 500, 32, 1709, 18750, 5, 51, 16
1, 20010, 252, 261, 265, 46536563, 46705879, 0.48, 75, 500, 32, 1588, 18750, 5, 36, 49
1, 20761, 252, 259, 264, 47212522, 47457728, 0.48, 75, 500, 32, 1711, 18750, 5, 16, 20
0, 26250, 224, 270, 272, 54491217, 53887342, 0.48, 75, 500, 32, 2107, 18750, 5, 22, 24
0, 26250, 284, 317, 340, 54735098, 53757308, 0.48, 75, 500, 32, 2188, 18750, 5, 29, 49
0, 26250, 261, 301, 330, 55277924, 54650660, 0.48, 75, 500, 32, 2115, 18750, 5, 29, 45
0, 26250, 267, 325, 304, 55515412, 54687106, 0.48, 75, 500, 32, 2027, 18750, 5, 21, 16
0, 21613, 243, 258, 259, 49025043, 48040708, 0.48, 75, 500, 32, 1818, 18750, 5, 42, 24
1, 19495, 261, 265, 269, 45082985, 45456753, 0.48, 75, 500, 32, 1573, 18750, 5, 28, 34
