win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 4506, 2, 43, 23, 6599700, 4772250, 0.44, 75, 500, 32, 378, 300, 5, 72, 38
0, 7260, 2, 53, 40, 9804375, 7827600, 0.44, 75, 500, 32, 634, 300, 5, 32, 33
0, 6280, 12, 46, 53, 8900700, 7063650, 0.44, 75, 500, 32, 537, 300, 5, 26, 26
0, 5717, 9, 49, 41, 8051325, 6222525, 0.44, 75, 500, 32, 495, 300, 5, 34, 31
0, 5338, 5, 38, 39, 7860150, 6007200, 0.44, 75, 500, 32, 448, 300, 5, 78, 67
0, 5626, 4, 60, 28, 7878675, 6010125, 0.44, 75, 500, 32, 477, 300, 5, 7, 3
0, 5433, 3, 43, 30, 7653225, 5809200, 0.44, 75, 500, 32, 446, 300, 5, 34, 30
0, 6097, 2, 40, 33, 8719200, 6902175, 0.44, 75, 500, 32, 507, 300, 5, 33, 28
0, 6990, 3, 42, 55, 9658350, 7735950, 0.44, 75, 500, 32, 585, 300, 5, 26, 27
0, 6807, 3, 59, 46, 9664050, 7832250, 0.44, 75, 500, 32, 575, 300, 5, 48, 40
0, 6702, 4, 46, 54, 9774675, 7909050, 0.44, 75, 500, 32, 579, 300, 5, 49, 39
0, 5629, 4, 43, 37, 8192775, 6263700, 0.44, 75, 500, 32, 467, 300, 5, 39, 32
0, 3398, 3, 25, 13, 5174400, 3277425, 0.44, 75, 500, 32, 261, 300, 5, 26, 13
0, 4734, 1, 43, 24, 6829950, 4799550, 0.44, 75, 500, 32, 374, 300, 5, 59, 37
0, 5665, 11, 42, 46, 8273550, 6165000, 0.44, 75, 500, 32, 478, 300, 5, 58, 44
0, 6474, 9, 65, 49, 9150975, 7330875, 0.44, 75, 500, 32, 535, 300, 5, 50, 41
0, 7784, 4, 59, 46, 10658925, 8768850, 0.44, 75, 500, 32, 648, 300, 5, 72, 43
0, 6220, 3, 48, 27, 8438475, 6534900, 0.44, 75, 500, 32, 507, 300, 5, 59, 34
0, 7511, 4, 47, 49, 9831900, 7814400, 0.44, 75, 500, 32, 627, 300, 5, 10, 8
0, 5551, 4, 58, 21, 7696350, 5723625, 0.44, 75, 500, 32, 426, 300, 5, 18, 6
0, 4677, 4, 37, 31, 7210950, 5054475, 0.44, 75, 500, 32, 389, 300, 5, 37, 27
1, 846, 4, 10, 8, 1155075, 1254300, 0.44, 75, 500, 23, 33, 300, 5, 13, 7
0, 6677, 8, 49, 54, 9716925, 7734675, 0.44, 75, 500, 32, 571, 300, 5, 29, 26
0, 6268, 3, 37, 27, 9125775, 7258350, 0.44, 75, 500, 32, 538, 300, 5, 12, 8
0, 7140, 4, 40, 57, 9855600, 7863825, 0.44, 75, 500, 32, 626, 300, 5, 14, 16
0, 7800, 4, 64, 62, 10130550, 9215100, 0.44, 75, 500, 32, 649, 300, 5, 57, 63
0, 5415, 5, 35, 30, 8250150, 6264375, 0.44, 75, 500, 32, 456, 300, 5, 59, 46
0, 6687, 6, 47, 49, 9327750, 7448100, 0.44, 75, 500, 32, 575, 300, 5, 73, 62
0, 5891, 3, 59, 41, 8055375, 6167175, 0.44, 75, 500, 32, 476, 300, 5, 29, 21
0, 6396, 2, 49, 35, 8383575, 6576975, 0.44, 75, 500, 32, 519, 300, 5, 24, 21
0, 4930, 5, 39, 22, 5080500, 3778050, 0.44, 75, 500, 23, 201, 300, 5, 82, 44
0, 7457, 6, 41, 67, 7235325, 5763900, 0.44, 75, 500, 23, 323, 300, 5, 11, 15
0, 6557, 5, 69, 39, 9254700, 7154625, 0.44, 75, 500, 32, 548, 300, 5, 60, 40
0, 4683, 5, 30, 28, 4788375, 3490425, 0.44, 75, 500, 23, 189, 300, 5, 51, 34
0, 5954, 4, 41, 45, 5993325, 4546950, 0.44, 75, 500, 23, 242, 300, 5, 16, 20
0, 6443, 8, 53, 45, 6222450, 4793400, 0.44, 75, 500, 23, 276, 300, 5, 34, 24
0, 4916, 0, 37, 24, 7088925, 5265075, 0.44, 75, 500, 32, 407, 300, 5, 49, 33
0, 6389, 6, 55, 47, 9249075, 7430325, 0.44, 75, 500, 32, 548, 300, 5, 73, 56
0, 6262, 5, 57, 39, 9364425, 7502775, 0.44, 75, 500, 32, 531, 300, 5, 69, 54
0, 5279, 3, 30, 37, 7656300, 5697675, 0.44, 75, 500, 32, 445, 300, 5, 57, 61
0, 4674, 3, 35, 30, 4786950, 3433425, 0.44, 75, 500, 23, 192, 300, 5, 46, 48
0, 6351, 6, 40, 42, 9218400, 7293750, 0.44, 75, 500, 32, 555, 300, 5, 40, 37
0, 5308, 7, 51, 36, 7774800, 5919525, 0.44, 75, 500, 32, 444, 300, 5, 50, 31
0, 7800, 8, 57, 69, 10405050, 8931825, 0.44, 75, 500, 32, 639, 300, 5, 76, 60
0, 5627, 7, 61, 39, 7905150, 6062175, 0.44, 75, 500, 32, 466, 300, 5, 47, 34
0, 5609, 5, 51, 34, 5931300, 4498650, 0.44, 75, 500, 23, 242, 300, 5, 40, 33
0, 6040, 6, 50, 40, 8574225, 6755400, 0.44, 75, 500, 32, 509, 300, 5, 47, 41
1, 997, 9, 12, 12, 1281150, 1768500, 0.44, 75, 500, 23, 36, 300, 5, 62, 44
0, 7800, 2, 47, 48, 7651200, 6358725, 0.44, 75, 500, 23, 330, 300, 5, 17, 19
0, 4526, 2, 26, 18, 4907475, 3577050, 0.44, 75, 500, 23, 200, 300, 5, 21, 13
0, 4684, 7, 47, 27, 5155575, 3805125, 0.44, 75, 500, 23, 206, 300, 5, 24, 15
0, 4220, 6, 38, 34, 4640550, 3346650, 0.44, 75, 500, 23, 174, 300, 5, 60, 61
0, 6586, 9, 62, 46, 9340875, 7498800, 0.44, 75, 500, 32, 543, 300, 5, 16, 12
0, 6424, 5, 47, 36, 9019275, 7106850, 0.44, 75, 500, 32, 546, 300, 5, 47, 33
0, 5356, 7, 44, 41, 5744850, 4200825, 0.44, 75, 500, 23, 235, 300, 5, 33, 24
0, 7380, 6, 76, 55, 9957000, 8106525, 0.44, 75, 500, 32, 610, 300, 5, 40, 32
0, 6151, 3, 38, 34, 6227625, 4410450, 0.44, 75, 500, 23, 270, 300, 5, 82, 53
1, 849, 8, 9, 12, 1034250, 1243350, 0.44, 75, 500, 23, 36, 300, 5, 51, 44
0, 5641, 3, 42, 31, 5816400, 4445775, 0.44, 75, 500, 23, 246, 300, 5, 28, 22
1, 1094, 9, 12, 12, 1341975, 1499550, 0.44, 75, 500, 23, 45, 300, 5, 15, 13
0, 7800, 6, 51, 58, 10593975, 9023325, 0.44, 75, 500, 32, 672, 300, 5, 43, 44
0, 5197, 5, 46, 33, 5259825, 3946275, 0.44, 75, 500, 23, 225, 300, 5, 68, 46
0, 7312, 4, 59, 44, 7087200, 5738400, 0.44, 75, 500, 23, 309, 300, 5, 74, 55
0, 6653, 8, 38, 46, 6975750, 5473800, 0.44, 75, 500, 23, 281, 300, 5, 26, 17
0, 4516, 10, 37, 32, 5409600, 4114050, 0.44, 75, 500, 23, 196, 300, 5, 40, 32
0, 5654, 5, 39, 31, 5769450, 4415400, 0.44, 75, 500, 23, 238, 300, 5, 20, 16
0, 4584, 6, 32, 38, 5103150, 3798075, 0.44, 75, 500, 23, 204, 300, 5, 36, 36
0, 7800, 6, 58, 54, 7219350, 6287175, 0.44, 75, 500, 23, 328, 300, 5, 31, 22
0, 4577, 4, 48, 26, 4633650, 3175275, 0.44, 75, 500, 23, 194, 300, 5, 24, 15
0, 7210, 8, 55, 51, 7030950, 5734275, 0.44, 75, 500, 23, 311, 300, 5, 38, 35
0, 4223, 5, 34, 29, 4483500, 3150300, 0.44, 75, 500, 23, 178, 300, 5, 10, 8
0, 7800, 7, 82, 37, 7127325, 6302550, 0.44, 75, 500, 23, 328, 300, 5, 10, 4
0, 7800, 7, 65, 41, 7420125, 6438000, 0.44, 75, 500, 23, 337, 300, 5, 50, 34
0, 4911, 6, 44, 30, 5006100, 3692700, 0.44, 75, 500, 23, 202, 300, 5, 37, 22
0, 6127, 3, 36, 50, 6518625, 5103975, 0.44, 75, 500, 23, 281, 300, 5, 24, 31
1, 1584, 5, 10, 14, 1840950, 1971900, 0.44, 75, 500, 23, 69, 300, 5, 61, 54
0, 4634, 1, 37, 17, 5035575, 3721800, 0.44, 75, 500, 23, 196, 300, 5, 41, 22
0, 5352, 2, 42, 27, 5601600, 4254000, 0.44, 75, 500, 23, 235, 300, 5, 78, 51
0, 5147, 51, 70, 52, 7761225, 6244650, 0.44, 75, 500, 23, 240, 300, 5, 14, 1
0, 4648, 6, 30, 34, 5248050, 3473925, 0.44, 75, 500, 23, 208, 300, 5, 27, 36
1, 749, 2, 5, 7, 860325, 904800, 0.44, 75, 500, 23, 31, 300, 5, 52, 34
0, 7800, 5, 63, 60, 7255275, 6155325, 0.44, 75, 500, 23, 349, 300, 5, 60, 49
1, 1010, 4, 5, 7, 1336950, 1422825, 0.44, 75, 500, 23, 44, 300, 5, 45, 43
0, 4843, 2, 30, 37, 4945575, 3386250, 0.44, 75, 500, 23, 205, 300, 5, 58, 63
0, 5970, 31, 81, 44, 7008450, 5439975, 0.44, 75, 500, 23, 265, 300, 5, 8, 2
0, 6443, 6, 47, 39, 6298200, 4865100, 0.44, 75, 500, 23, 283, 300, 5, 49, 40
0, 5893, 3, 37, 31, 5777775, 4448250, 0.44, 75, 500, 23, 258, 300, 5, 28, 22
0, 4090, 4, 32, 21, 4493775, 3167700, 0.44, 75, 500, 23, 184, 300, 5, 20, 15
0, 4959, 9, 34, 30, 5610375, 4174875, 0.44, 75, 500, 23, 215, 300, 5, 60, 37
0, 4766, 3, 39, 28, 4795200, 3440175, 0.44, 75, 500, 23, 212, 300, 5, 33, 26
0, 5544, 4, 50, 28, 5621175, 4316550, 0.44, 75, 500, 23, 248, 300, 5, 74, 51
0, 6718, 8, 45, 52, 7068750, 5714400, 0.44, 75, 500, 23, 315, 300, 5, 61, 51
0, 4523, 7, 30, 32, 4663500, 3180225, 0.44, 75, 500, 23, 208, 300, 5, 20, 21
0, 7800, 2, 51, 51, 7487175, 6419100, 0.44, 75, 500, 23, 348, 300, 5, 23, 27
0, 6704, 3, 46, 33, 6483000, 4986375, 0.44, 75, 500, 23, 299, 300, 5, 58, 43
1, 920, 3, 7, 9, 866400, 1004775, 0.44, 75, 500, 23, 41, 300, 5, 57, 40
0, 2916, 3, 21, 9, 2915475, 1514400, 0.44, 75, 500, 23, 128, 300, 5, 16, 14
0, 6255, 5, 41, 44, 6404100, 5061375, 0.44, 75, 500, 23, 288, 300, 5, 56, 47
0, 6858, 7, 78, 37, 6932025, 5548350, 0.44, 75, 500, 23, 314, 300, 5, 23, 10
0, 6150, 8, 48, 39, 6357150, 4899075, 0.44, 75, 500, 23, 282, 300, 5, 36, 36
0, 5161, 3, 39, 41, 5341950, 4020975, 0.44, 75, 500, 23, 241, 300, 5, 55, 46
0, 7800, 4, 56, 56, 7379700, 6147225, 0.44, 75, 500, 23, 361, 300, 5, 87, 66
1, 1218, 5, 6, 9, 1865775, 1877850, 0.44, 75, 500, 23, 59, 300, 5, 25, 25
0, 4696, 5, 39, 38, 5288475, 3959550, 0.44, 75, 500, 23, 222, 300, 5, 61, 54
0, 5408, 7, 40, 39, 5383200, 3853950, 0.44, 75, 500, 23, 248, 300, 5, 43, 43
0, 4829, 2, 35, 29, 4671600, 3279375, 0.44, 75, 500, 23, 225, 300, 5, 9, 9
0, 5997, 11, 67, 37, 6043050, 4694550, 0.44, 75, 500, 23, 266, 300, 5, 36, 22
0, 5960, 10, 55, 40, 6151725, 4771725, 0.44, 75, 500, 23, 292, 300, 5, 60, 47
0, 6810, 3, 42, 47, 6865500, 5051100, 0.44, 75, 500, 23, 325, 300, 5, 35, 28
1, 959, 3, 4, 10, 1190925, 1223550, 0.44, 75, 500, 23, 42, 300, 5, 36, 28
0, 5223, 3, 38, 34, 5446575, 4137825, 0.44, 75, 500, 23, 255, 300, 5, 22, 19
0, 7800, 3, 65, 51, 7974450, 7003575, 0.44, 75, 500, 23, 374, 300, 5, 34, 22
