win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs
0, 35063, 233, 372, 360, 16536127, 15380725, 0.44, 75, 500, 8, 255, 18750, 40
0, 31098, 271, 382, 367, 14974163, 13704646, 0.44, 75, 500, 8, 256, 18750, 40
0, 34786, 256, 374, 372, 16492156, 15063570, 0.44, 75, 500, 8, 267, 18750, 40
0, 33627, 245, 364, 372, 16010401, 14811317, 0.44, 75, 500, 8, 267, 18750, 40
0, 37826, 252, 422, 422, 17646917, 16274982, 0.44, 75, 500, 8, 306, 18750, 40
0, 41456, 257, 454, 437, 18360274, 16889066, 0.44, 75, 500, 8, 316, 18750, 40
0, 41884, 233, 425, 401, 19386311, 17695855, 0.44, 75, 500, 8, 315, 18750, 40
0, 43616, 269, 455, 504, 19600257, 17693089, 0.44, 75, 500, 8, 346, 18750, 40
0, 41921, 265, 461, 419, 19335343, 17661133, 0.44, 75, 500, 8, 348, 18750, 40
0, 43625, 265, 516, 442, 19596581, 17343117, 0.44, 75, 500, 8, 360, 18750, 40
0, 44392, 261, 469, 505, 19949677, 18431812, 0.44, 75, 500, 8, 367, 18750, 40
0, 42280, 206, 401, 361, 18874109, 17097858, 0.44, 75, 500, 8, 366, 18750, 40
0, 47306, 238, 483, 454, 21388898, 18892282, 0.44, 75, 500, 8, 382, 18750, 40
0, 50158, 264, 535, 514, 22102685, 19920041, 0.44, 75, 500, 8, 395, 18750, 40
0, 51750, 237, 535, 474, 21703129, 20028175, 0.44, 75, 500, 8, 433, 18750, 40
1, 25229, 226, 262, 272, 13353556, 13374200, 0.44, 75, 500, 8, 186, 18750, 40
0, 39652, 233, 387, 388, 19106870, 17120482, 0.44, 75, 500, 8, 301, 18750, 40
0, 39503, 260, 436, 417, 18170296, 16882923, 0.44, 75, 500, 8, 312, 18750, 40
0, 34205, 221, 344, 325, 16622975, 15567786, 0.44, 75, 500, 8, 262, 18750, 40
0, 45968, 254, 484, 481, 20245481, 18566864, 0.44, 75, 500, 8, 377, 18750, 40
0, 41296, 254, 499, 339, 18814128, 16649238, 0.44, 75, 500, 8, 313, 18750, 40
0, 51750, 246, 528, 511, 22440812, 20155600, 0.44, 75, 500, 8, 426, 18750, 40
0, 38945, 242, 415, 373, 18389038, 16714863, 0.44, 75, 500, 8, 301, 18750, 40
0, 51750, 248, 618, 491, 22317486, 19561808, 0.44, 75, 500, 8, 413, 18750, 40
0, 33968, 255, 376, 371, 16681840, 15368681, 0.44, 75, 500, 8, 256, 18750, 40
0, 49242, 261, 525, 482, 21802606, 19757294, 0.44, 75, 500, 8, 419, 18750, 40
0, 43983, 238, 487, 406, 19890163, 18290729, 0.44, 75, 500, 8, 362, 18750, 40
0, 51750, 238, 569, 472, 22379112, 20571877, 0.44, 75, 500, 8, 411, 18750, 40
0, 42495, 266, 475, 422, 19102010, 17451307, 0.44, 75, 500, 8, 351, 18750, 40
0, 32658, 231, 309, 344, 16115664, 14945942, 0.44, 75, 500, 8, 239, 18750, 40
0, 51750, 233, 539, 502, 21383801, 19533317, 0.44, 75, 500, 8, 434, 18750, 40
0, 31446, 229, 343, 319, 15378467, 14100274, 0.44, 75, 500, 8, 244, 18750, 40
0, 35380, 262, 400, 381, 17371418, 15961638, 0.44, 75, 500, 8, 253, 18750, 40
0, 41383, 255, 460, 417, 18517372, 16814527, 0.44, 75, 500, 8, 312, 18750, 40
0, 37966, 241, 392, 366, 18061276, 16542903, 0.44, 75, 500, 8, 293, 18750, 40
0, 42801, 242, 468, 423, 18748973, 16871458, 0.44, 75, 500, 8, 342, 18750, 40
0, 32206, 272, 406, 324, 15989901, 14624763, 0.44, 75, 500, 8, 234, 18750, 40
0, 38428, 230, 403, 365, 18234983, 16514921, 0.44, 75, 500, 8, 298, 18750, 40
0, 51750, 259, 558, 548, 22683251, 20578217, 0.44, 75, 500, 8, 396, 18750, 40
0, 43805, 266, 462, 427, 20404322, 19066332, 0.44, 75, 500, 8, 362, 18750, 40
0, 51750, 248, 496, 534, 22849684, 21243158, 0.44, 75, 500, 8, 399, 18750, 40
0, 36931, 284, 458, 437, 17136898, 15867931, 0.44, 75, 500, 8, 282, 18750, 40
0, 51750, 245, 550, 538, 21751315, 19733427, 0.44, 75, 500, 8, 396, 18750, 40
0, 51750, 251, 600, 451, 22151131, 19740860, 0.44, 75, 500, 8, 425, 18750, 40
0, 49394, 240, 510, 509, 21967968, 19939906, 0.44, 75, 500, 8, 401, 18750, 40
0, 30525, 255, 355, 315, 15364448, 14202831, 0.44, 75, 500, 8, 217, 18750, 40
0, 48646, 262, 512, 503, 21828879, 19908635, 0.44, 75, 500, 8, 413, 18750, 40
0, 32438, 253, 349, 360, 16134423, 15186006, 0.44, 75, 500, 8, 240, 18750, 40
0, 51750, 263, 563, 508, 22514219, 20372178, 0.44, 75, 500, 8, 411, 18750, 40
0, 35211, 261, 397, 379, 17184208, 15633817, 0.44, 75, 500, 8, 252, 18750, 40
0, 45884, 266, 501, 454, 20435801, 18778869, 0.44, 75, 500, 8, 356, 18750, 40
0, 51750, 279, 608, 578, 22007312, 19903485, 0.44, 75, 500, 8, 396, 18750, 40
0, 47368, 248, 515, 460, 21318660, 19247199, 0.44, 75, 500, 8, 382, 18750, 40
0, 48524, 239, 508, 442, 20690715, 18855353, 0.44, 75, 500, 8, 367, 18750, 40
0, 40973, 278, 475, 436, 19784823, 17507949, 0.44, 75, 500, 8, 323, 18750, 40
0, 27140, 250, 316, 304, 14024838, 13187537, 0.44, 75, 500, 8, 201, 18750, 40
0, 36527, 248, 382, 388, 17964737, 16429734, 0.44, 75, 500, 8, 280, 18750, 40
0, 43587, 246, 435, 430, 19798944, 18210734, 0.44, 75, 500, 8, 334, 18750, 40
0, 47328, 231, 522, 447, 20596085, 18707025, 0.44, 75, 500, 8, 385, 18750, 40
0, 51750, 245, 469, 547, 22441758, 19919095, 0.44, 75, 500, 8, 422, 18750, 40
0, 38952, 263, 463, 371, 18286721, 17031317, 0.44, 75, 500, 8, 300, 18750, 40
0, 49244, 265, 536, 489, 21892277, 19835950, 0.44, 75, 500, 8, 393, 18750, 40
0, 37932, 225, 381, 345, 18069678, 16601574, 0.44, 75, 500, 8, 307, 18750, 40
