win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 826, 9, 12, 10, 1643325, 1082475, 0.44, 75, 500, 32, 63, 300, 2, 86, 46
0, 763, 5, 7, 6, 1362750, 653100, 0.44, 75, 500, 32, 61, 300, 2, 19, 17
0, 1310, 6, 14, 12, 2183325, 1437450, 0.44, 75, 500, 32, 107, 300, 2, 23, 13
0, 1137, 4, 8, 9, 1793250, 1551750, 0.44, 75, 500, 32, 94, 300, 2, 31, 29
0, 833, 5, 10, 8, 1540950, 1076325, 0.44, 75, 500, 32, 73, 300, 2, 55, 55
0, 690, 5, 8, 6, 1036425, 506625, 0.44, 75, 500, 32, 47, 300, 2, 11, 3
0, 1630, 8, 11, 15, 2740125, 2204175, 0.44, 75, 500, 32, 133, 300, 2, 25, 20
0, 703, 2, 5, 5, 1371825, 1060875, 0.44, 75, 500, 32, 58, 300, 2, 14, 15
0, 614, 4, 8, 5, 951825, 716850, 0.44, 75, 500, 32, 43, 300, 2, 9, 3
0, 1336, 6, 19, 10, 2289300, 1587450, 0.44, 75, 500, 32, 111, 300, 2, 43, 33
0, 629, 5, 12, 10, 1267950, 910500, 0.44, 75, 500, 32, 51, 300, 2, 67, 58
0, 557, 6, 8, 8, 1125075, 1012650, 0.44, 75, 500, 32, 42, 300, 2, 38, 23
0, 1178, 6, 13, 12, 2213775, 1602900, 0.44, 75, 500, 32, 106, 300, 2, 27, 26
0, 1364, 6, 9, 9, 2228175, 1291725, 0.44, 75, 500, 32, 108, 300, 2, 34, 16
0, 1026, 4, 10, 8, 2089500, 1450725, 0.44, 75, 500, 32, 84, 300, 2, 62, 50
0, 2310, 8, 18, 15, 4042350, 3198150, 0.44, 75, 500, 32, 199, 300, 2, 74, 60
0, 797, 7, 9, 9, 1613775, 1326000, 0.44, 75, 500, 32, 69, 300, 2, 42, 39
0, 554, 3, 4, 4, 1205400, 848250, 0.44, 75, 500, 32, 42, 300, 2, 43, 37
0, 2224, 4, 14, 22, 3536100, 2913225, 0.44, 75, 500, 32, 187, 300, 2, 64, 63
0, 899, 4, 6, 8, 1596300, 1415250, 0.44, 75, 500, 32, 76, 300, 2, 57, 64
0, 1456, 3, 16, 9, 2107800, 1561125, 0.44, 75, 500, 32, 113, 300, 2, 6, 4
0, 2123, 14, 28, 21, 3229875, 2442000, 0.44, 75, 500, 32, 175, 300, 2, 20, 11
0, 1586, 6, 15, 19, 2406825, 1961325, 0.44, 75, 500, 32, 128, 300, 2, 8, 10
0, 3237, 12, 29, 31, 4737900, 3884325, 0.44, 75, 500, 32, 270, 300, 2, 32, 20
0, 840, 4, 9, 8, 1365000, 1077450, 0.44, 75, 500, 32, 64, 300, 2, 50, 42
0, 2910, 8, 24, 25, 4400025, 3710925, 0.44, 75, 500, 32, 251, 300, 2, 53, 47
0, 627, 5, 7, 6, 1100550, 521475, 0.44, 75, 500, 32, 43, 300, 2, 66, 53
0, 2045, 1, 4, 17, 2839875, 2082450, 0.44, 75, 500, 32, 173, 300, 2, 5, 12
0, 887, 5, 8, 7, 1305000, 858300, 0.44, 75, 500, 23, 37, 300, 2, 47, 42
0, 888, 6, 10, 9, 1043925, 670425, 0.44, 75, 500, 23, 34, 300, 2, 7, 5
0, 1912, 5, 13, 12, 3167700, 2501250, 0.44, 75, 500, 32, 163, 300, 2, 63, 52
0, 1210, 6, 11, 7, 1516950, 831825, 0.44, 75, 500, 32, 92, 300, 2, 49, 36
0, 311, 1, 2, 2, 493275, 474150, 0.44, 75, 500, 23, 11, 300, 2, 48, 39
0, 1503, 7, 13, 17, 2371575, 1898250, 0.44, 75, 500, 32, 122, 300, 2, 36, 50
0, 903, 7, 13, 9, 1475025, 921825, 0.44, 75, 500, 32, 67, 300, 2, 44, 31
0, 832, 5, 9, 10, 1541625, 1161150, 0.44, 75, 500, 32, 63, 300, 2, 21, 22
0, 1417, 10, 20, 16, 2546775, 1900050, 0.44, 75, 500, 32, 111, 300, 2, 76, 34
0, 721, 6, 7, 7, 1073025, 998775, 0.44, 75, 500, 23, 24, 300, 2, 45, 30
0, 1097, 1, 2, 4, 1453125, 1191300, 0.44, 75, 500, 32, 88, 300, 2, 42, 37
0, 1497, 3, 5, 12, 1601550, 1273500, 0.44, 75, 500, 23, 68, 300, 2, 6, 10
0, 587, 5, 6, 6, 1125825, 692325, 0.44, 75, 500, 23, 21, 300, 2, 23, 21
0, 1308, 3, 12, 8, 1530675, 801750, 0.44, 75, 500, 23, 54, 300, 2, 34, 29
0, 2217, 6, 16, 17, 3413925, 2707050, 0.44, 75, 500, 32, 201, 300, 2, 58, 46
0, 1423, 2, 11, 12, 2297775, 1904475, 0.44, 75, 500, 32, 108, 300, 2, 58, 42
0, 753, 6, 10, 7, 1066200, 592200, 0.44, 75, 500, 23, 31, 300, 2, 19, 12
0, 1127, 6, 12, 13, 1419750, 1149900, 0.44, 75, 500, 23, 44, 300, 2, 60, 39
0, 1359, 8, 12, 10, 1750875, 1265775, 0.44, 75, 500, 23, 55, 300, 2, 34, 18
0, 468, 2, 3, 3, 563175, 284400, 0.44, 75, 500, 23, 19, 300, 2, 70, 50
0, 1251, 4, 11, 12, 2140725, 1488600, 0.44, 75, 500, 32, 97, 300, 2, 29, 29
0, 511, 2, 3, 3, 870450, 129075, 0.44, 75, 500, 23, 21, 300, 2, 20, 14
0, 874, 5, 6, 8, 1346925, 1108200, 0.44, 75, 500, 23, 42, 300, 2, 44, 40
0, 1162, 2, 6, 6, 971400, 825150, 0.44, 75, 500, 23, 46, 300, 2, 39, 33
0, 1251, 5, 14, 12, 1487400, 1228875, 0.44, 75, 500, 23, 49, 300, 2, 41, 32
1, 499, 6, 7, 9, 760425, 851625, 0.44, 75, 500, 23, 19, 300, 2, 62, 57
0, 1541, 3, 8, 13, 2424600, 1629975, 0.44, 75, 500, 32, 116, 300, 2, 55, 34
1, 845, 3, 5, 8, 1006575, 1026150, 0.44, 75, 500, 23, 32, 300, 2, 27, 22
0, 1096, 6, 10, 14, 1337700, 931950, 0.44, 75, 500, 23, 44, 300, 2, 6, 7
0, 2706, 8, 15, 22, 3783300, 3354000, 0.44, 75, 500, 32, 217, 300, 2, 51, 52
0, 1692, 11, 20, 23, 2842800, 2301525, 0.44, 75, 500, 32, 135, 300, 2, 24, 23
0, 1480, 12, 18, 13, 2520675, 2181225, 0.44, 75, 500, 23, 68, 300, 2, 26, 13
0, 1369, 4, 7, 13, 1653150, 1102050, 0.44, 75, 500, 23, 57, 300, 2, 13, 12
0, 1560, 5, 10, 13, 1774500, 1265850, 0.44, 75, 500, 23, 64, 300, 2, 8, 8
0, 1582, 8, 17, 14, 1853625, 1514775, 0.44, 75, 500, 23, 65, 300, 2, 46, 33
0, 2416, 6, 20, 18, 2652375, 2121000, 0.44, 75, 500, 23, 103, 300, 2, 6, 5
0, 2710, 7, 18, 28, 3133800, 2591700, 0.44, 75, 500, 23, 116, 300, 2, 45, 46
0, 2569, 6, 13, 29, 2841375, 2447475, 0.44, 75, 500, 23, 118, 300, 2, 5, 7
0, 656, 3, 4, 4, 1100775, 483975, 0.44, 75, 500, 23, 25, 300, 2, 58, 40
0, 834, 3, 4, 6, 966525, 700875, 0.44, 75, 500, 23, 32, 300, 2, 9, 9
0, 947, 5, 9, 9, 1102125, 737625, 0.44, 75, 500, 23, 35, 300, 2, 19, 11
0, 772, 6, 9, 7, 1011675, 787500, 0.44, 75, 500, 23, 28, 300, 2, 73, 54
0, 1774, 2, 14, 15, 1764225, 1401900, 0.44, 75, 500, 23, 71, 300, 2, 13, 15
1, 588, 4, 6, 8, 776475, 799575, 0.44, 75, 500, 23, 20, 300, 2, 17, 14
0, 893, 1, 2, 4, 1050825, 757800, 0.44, 75, 500, 23, 33, 300, 2, 57, 51
1, 739, 8, 10, 10, 1114050, 1184925, 0.44, 75, 500, 23, 30, 300, 2, 29, 17
0, 1826, 10, 20, 14, 1718175, 1224750, 0.44, 75, 500, 23, 72, 300, 2, 12, 5
0, 2168, 8, 16, 19, 2541075, 2132850, 0.44, 75, 500, 23, 81, 300, 2, 5, 3
1, 622, 4, 5, 6, 724800, 891975, 0.44, 75, 500, 23, 24, 300, 2, 16, 12
0, 1084, 9, 10, 10, 1452075, 1101975, 0.44, 75, 500, 23, 39, 300, 2, 50, 55
0, 2173, 5, 19, 14, 2377200, 1827900, 0.44, 75, 500, 23, 92, 300, 2, 36, 34
0, 946, 6, 12, 8, 1196775, 835650, 0.44, 75, 500, 23, 37, 300, 2, 68, 55
0, 2489, 6, 22, 20, 3518325, 2718225, 0.44, 75, 500, 32, 207, 300, 2, 28, 23
0, 1637, 3, 11, 9, 2066025, 1497750, 0.44, 75, 500, 23, 69, 300, 2, 36, 31
0, 2797, 7, 27, 27, 2670075, 2215350, 0.44, 75, 500, 23, 112, 300, 2, 12, 10
0, 1675, 7, 14, 11, 1977900, 1424175, 0.44, 75, 500, 23, 72, 300, 2, 64, 49
0, 1736, 8, 19, 13, 2134500, 1797375, 0.44, 75, 500, 23, 68, 300, 2, 32, 27
0, 1611, 7, 11, 12, 1671075, 1140675, 0.44, 75, 500, 23, 70, 300, 2, 8, 3
0, 407, 3, 4, 4, 564150, 386475, 0.44, 75, 500, 23, 14, 300, 2, 14, 7
0, 780, 4, 6, 6, 1095000, 1017300, 0.44, 75, 500, 23, 32, 300, 2, 11, 12
0, 640, 3, 4, 4, 1024350, 355875, 0.44, 75, 500, 23, 26, 300, 2, 9, 8
1, 707, 6, 8, 13, 812850, 874275, 0.44, 75, 500, 23, 25, 300, 2, 55, 46
0, 2420, 13, 32, 32, 2587050, 2050500, 0.44, 75, 500, 23, 100, 300, 2, 88, 63
0, 1352, 9, 19, 14, 1720950, 1202550, 0.44, 75, 500, 23, 53, 300, 2, 75, 56
0, 579, 6, 9, 7, 932325, 815775, 0.44, 75, 500, 23, 23, 300, 2, 59, 49
0, 1080, 5, 12, 12, 1332450, 1108425, 0.44, 75, 500, 23, 45, 300, 2, 59, 34
0, 2111, 8, 16, 15, 2687100, 2151525, 0.44, 75, 500, 23, 102, 300, 2, 16, 9
0, 551, 2, 3, 3, 986850, 741525, 0.44, 75, 500, 23, 22, 300, 2, 34, 19
0, 546, 3, 4, 4, 819075, 542700, 0.44, 75, 500, 23, 20, 300, 2, 39, 46
0, 880, 6, 13, 12, 1233825, 996150, 0.44, 75, 500, 23, 34, 300, 2, 57, 52
0, 651, 0, 1, 3, 892200, 800550, 0.44, 75, 500, 23, 27, 300, 2, 40, 29
0, 2058, 9, 23, 16, 2293500, 1564800, 0.44, 75, 500, 23, 82, 300, 2, 51, 44
0, 564, 2, 3, 3, 640500, 344475, 0.44, 75, 500, 23, 22, 300, 2, 39, 24
0, 615, 3, 4, 4, 802800, 708975, 0.44, 75, 500, 23, 22, 300, 2, 23, 13
