,kls=results&ty=por&q=0.48&ds=20.0&daa=500&scale=1,kls=results&ty=trad&q=0.48&ds=20.0&daa=500&scale=1,kls=analytical&ty=trad&q=0.48&ds=20.0&daa=0&scale=1
0.05,,,0.96
0.1,,,0.940032
0.15,,,0.9250799616
0.2,,,0.9126398656511999
0.25,,,0.9017721978303282
0.3,,,0.8920069462332058
0.35,,,0.8830697879715192
0.4,,,0.8747842762207992
0.45,,,0.8670290372221252
0.5,,,0.8597163638623089
0.55,,,0.8527804394339903
0.6,,,0.8461703773460858
0.65,,,0.8398458699403788
0.7,,,0.8337743428309
0.75,,,0.8279290234743001
0.8,,,0.8222875888568584
0.85,,,0.8168311932948689
0.9,,,0.8115437534166341
0.95,,,0.8064114117748274
1.0,0.7603333333333333,0.7439779005524861,0.8014221274032052
1.05,,,0.796565358424493
1.1,,,0.7918318126130124
1.15,,,0.787213248932516
1.2,,,0.7827023178664868
1.25,,,0.7782924316563367
1.3,,,0.773977657871967
1.35,,,0.7697526313823124
1.4,,,0.7656124809803609
1.45,,,0.7615527677862188
1.5,,,0.7575694331961706
1.55,,,0.753658754629045
1.6,,,0.7498173076876496
1.65,,,0.7460419336336462
1.7,,,0.7423297112910916
1.75,,,0.7386779326629146
1.8,,,0.7350840816774337
1.85,,,0.7315458155871949
1.9,,,0.7280609486262747
1.95,,,0.7246274375995154
2.0,0.6742222222222222,0.6790055248618785,0.7212433691315415
2.05,,,0.7179069483475967
2.1,,,0.7146164887943536
2.15,,,0.7113704034385142
2.2,,,0.7081671966055149
2.25,,,0.7050054567409717
2.3,,,0.7018838498944425
2.35,,,0.6988011138392545
2.4,,,0.6957560527540685
2.45,,,0.6927475324019048
2.5,,,0.6897744757508719
2.55,,,0.6868358589880845
2.6,,,0.683930707884431
2.65,,,0.6810580944731385
2.7,,,0.6782171340096232
2.75,,,0.6754069821840234
2.8,,,0.672626832561187
2.85,,,0.6698759142258136
2.9,,,0.6671534896129877
2.95,,,0.6644588525065547
3.0,0.626,0.6156666666666667,0.6617913261897215
3.05,,,0.6591502617339511
3.1,,,0.6565350364137087
3.15,,,0.653945052235912
3.2,,,0.6513797345740943
3.25,,,0.6488385308982977
3.3,,,0.6463209095926125
3.35,,,0.6438263588530739
3.4,,,0.6413543856593331
3.45,,,0.6389045148141483
3.5,,,0.6364762880452999
3.55,,,0.6340692631650391
3.6,,,0.6316830132826179
3.65,,,0.6293171260658601
3.7,,,0.6269712030480821
3.75,,,0.6246448589770037
3.8,,,0.6223377212025762
3.85,,,0.6200494291009168
3.9,,,0.6177796335317777
3.95,,,0.6155279963271917
4.0,0.5845555555555556,0.5583333333333333,0.6132941898091271
4.05,,,0.6110778963341641
4.1,,,0.6088788078633622
4.15,,,0.6066966255556336
4.2,,,0.6045310593830674
4.25,,,0.6023818277667743
4.3,,,0.6002486572319242
4.35,,,0.5981312820807556
4.4,,,0.5960294440824203
4.45,,,0.5939428921786183
4.5,,,0.5918713822040464
4.55,,,0.5898146766207596
4.6,,,0.5877725442656057
4.65,,,0.5857447601099559
4.7,,,0.5837311050310034
4.75,,,0.5817313655939584
4.8,,,0.579745333844507
4.85,,,0.5777728071109518
4.9,,,0.5758135878154838
4.95,,,0.5738674832940751
5.0,0.5435555555555556,0.5065555555555555,0.5719343056245177
5.25,,,0.5624560546048447
5.5,,,0.5532752450267192
5.75,,,0.5443728551095336
6.0,0.49522222222222223,0.46344444444444444,0.5357318582910916
6.25,,,0.5273369376182384
6.5,,,0.5191742509012167
6.75,,,0.511231235999835
7.0,0.4696666666666667,0.41988888888888887,0.5034964481475686
7.25,,,0.4959594230829354
7.5,,,0.48861056114237367
7.75,,,0.4814410285100317
8.0,,,0.4744426726110008
8.25,,,0.46760794924155036
8.5,,,0.46092985949999243
8.75,,,0.45440189494892
9.0,0.41355555555555557,0.3541111111111111,0.44801798972857476
9.25,,,0.44177247857033175
9.5,,,0.43566005984238443
9.75,,,0.42967576290692977
10.0,,,0.423814919187263
11.0,0.3615555555555556,0.2995555555555556,0.40152191133327075
12.0,,,0.3808938681377888
13.0,0.3293333333333333,0.2613333333333333,0.36173346325055966
14.0,,,0.3438787730027436
15.0,0.2962222222222222,0.21988888888888888,0.327194784030432
16.0,,,0.31156738253161964
17.0,0.2677777777777778,0.1932222222222222,0.29689898836914574
18.0,,,0.28310531228444236
19.0,0.2451111111111111,0.1711111111111111,0.2701128999559558
20.0,,,0.25785723984908016
21.0,0.22633333333333333,0.1438888888888889,0.24628128312429676
22.0,,,0.2353342700603922
23.0,,0.12055555555555555,0.22497078810741733
24.0,,,0.21515000748276392
25.0,,0.1068888888888889,0.20583505461399143
26.0,,,0.19699249386673523
27.0,,0.096,0.1885918952496265
28.0,,,0.1806054710565903
29.0,,0.07944444444444444,0.17300776828534714
30.0,0.15511111111111112,,0.16577540656171275
31.0,,,0.15888685347867293
