,kls=results&ty=por&q=0.44&ds=1.25&daa=100&scale=0.125,kls=results&ty=por&q=0.44&ds=2.5&daa=100&scale=0.25,kls=results&ty=por&q=0.44&ds=5&daa=100&scale=0.5,kls=results&ty=por&q=0.44&ds=10&daa=100&scale=1,kls=results&ty=por&q=0.44&ds=20&daa=100&scale=2,kls=results&ty=trad&q=0.44&ds=10&daa=100&scale=1,kls=analytical&ty=trad&q=0.44&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.88
0.125,0.9027222222222222,,,,,,
0.2,,,,,,,0.820864
0.25,0.7541666666666667,0.8257777777777778,,,,,
0.3,,,,,,,0.7771506688
0.375,0.6644444444444444,,,,,,
0.4,,,,,,,0.7412474527744
0.5,0.5872222222222222,0.6963333333333334,0.7071111111111111,,,,0.7102845192739226
0.6,,,,,,,0.682819158741659
0.625,0.5195555555555555,,,,,,
0.7,,,,,,,0.6580051210127768
0.75,0.4762222222222222,0.6027777777777777,,,,,
0.8,,,,,,,0.6352953136833036
0.875,0.4318888888888889,,,,,,
0.9,,,,,,,0.6143114517108704
1.0,,0.5316666666666666,0.5696666666666667,0.5773888888888888,,0.5792222222222222,0.594778740370842
1.1,,,,,,,0.5764898720889466
1.125,0.35655555555555557,,,,,,
1.2,,,,,,,0.5592837048093393
1.25,,0.4693333333333333,,,,,
1.3,,,,,,,0.543031906274841
1.375,0.298,,,,,,
1.4,,,,,,,0.5276302018175318
1.5,,0.42633333333333334,0.4787777777777778,,,,0.5129924219013051
1.6,,,,,,,0.4990463258787199
1.625,0.2633333333333333,,,,,,
1.7,,,,,,,0.4857305933963555
1.75,,0.377,,,,,
1.8,,,,,,,0.47299260704804946
1.875,0.22555555555555556,,,,,,
1.9,,,,,,,0.4607867854627393
2.0,,,0.4167777777777778,0.41433333333333333,0.41883333333333334,0.4171111111111111,0.44907330817548086
2.1,,,,,,,0.43781712504151704
2.125,0.19644444444444445,,,,,,
2.2,,,,,,,0.4269871760422259
2.25,,0.31477777777777777,,,,,
2.3,,,,,,,0.4165557691661086
2.375,0.176,,,,,,
