,kls=results&ty=por&q=0.4&ds=2.0&daa=500&scale=0.2,kls=results&ty=por&q=0.4&ds=5.0&daa=500&scale=0.5,kls=results&ty=por&q=0.4&ds=10.0&daa=500&scale=1,kls=results&ty=por&q=0.4&ds=13.0&daa=500&scale=1.3,kls=results&ty=por&q=0.4&ds=16.0&daa=500&scale=1.6,kls=results&ty=por&q=0.4&ds=20.0&daa=500&scale=2.0,kls=analytical&ty=trad&q=0.4&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.8
0.2,0.6456666666666667,,,,,,0.7040000000000001
0.3,,,,,,,0.6348800000000001
0.4,0.4523333333333333,,,,,,0.5795840000000001
0.5,,0.434,,,,,0.5331353600000002
0.6,,,,,,,0.49300373504000006
0.6000000000000001,0.3556666666666667,,,,,,
0.7,,,,,,,0.4576879050752001
0.8,0.2763333333333333,,,,,,0.4262063652208641
0.9,,,,,,,0.39787297935196175
1.0,0.21766666666666667,0.2816666666666667,0.2683333333333333,,,,0.3721840428308235
1.1,,,,,,,0.34875573272354554
1.2,,,,,,,0.32728688127978534
1.2000000000000002,0.18066666666666667,,,,,,
1.3,,,,0.23966666666666667,,,0.3075355379515259
1.4,,,,,,,0.2893035287254403
1.4000000000000001,0.138,,,,,,
1.5,,0.18533333333333332,,,,,0.27242589732757816
1.6,0.11233333333333333,,,,0.195,,0.25676345539036216
1.7,,,,,,,0.24219738438875127
1.8,,,,,,,0.22862523352607378
1.9,,,,,,,0.21595789272090815
2.0,,0.12733333333333333,0.12466666666666666,,,0.166,0.20411726257881646
2.1,,,,,,,0.19303443276581878
2.2,0.08,,,,,,0.18264823796963792
2.3,,,,,,,0.1729040988517665
2.4,,,,,,,0.16375308124541765
2.5,,0.099,,,,,0.15515112469544978
2.6,,,,0.104,,,0.14705840397324
2.7,,,,,,,0.13943879615479016
2.8,,,,,,,0.13225943234362847
2.9,,,,,,,0.12549031789310472
3.0,,0.062,0.064,,,,0.11910400853564496
3.1,,,,,,,0.11307533250220303
3.2,0.036333333333333336,,,,0.076,,0.1073811507519069
3.3,,,,,,,0.10200014899787702
3.4,,,,,,,0.09691265643043057
