,kls=results&ty=por&q=0.4&ds=5&daa=100&scale=0.25,kls=results&ty=por&q=0.4&ds=10&daa=100&scale=0.5,kls=results&ty=por&q=0.4&ds=20&daa=100&scale=1,kls=results&ty=trad&q=0.4&ds=20&daa=100&scale=1,kls=analytical&ty=trad&q=0.4&ds=20.0&daa=0&scale=1
0.05,,,,,0.8
0.1,,,,,0.7040000000000001
0.15,,,,,0.6348800000000001
0.2,,,,,0.5795840000000001
0.25,0.5488888888888889,,,,0.5331353600000002
0.3,,,,,0.49300373504000006
0.35,,,,,0.4576879050752001
0.4,,,,,0.4262063652208641
0.45,,,,,0.39787297935196175
0.5,0.36822222222222223,0.38172222222222224,,,0.3721840428308235
0.55,,,,,0.34875573272354554
0.6,,,,,0.32728688127978534
0.65,,,,,0.3075355379515259
0.7,,,,,0.2893035287254403
0.75,0.26122222222222224,,,,0.27242589732757816
0.8,,,,,0.25676345539036216
0.85,,,,,0.24219738438875127
0.9,,,,,0.22862523352607378
0.95,,,,,0.21595789272090815
1.0,0.2038888888888889,0.1942222222222222,0.18755555555555556,0.189,0.20411726257881646
1.05,,,,,0.19303443276581878
1.1,,,,,0.18264823796963792
1.15,,,,,0.1729040988517665
1.2,,,,,0.16375308124541765
1.25,0.1511111111111111,,,,0.15515112469544978
1.3,,,,,0.14705840397324
1.35,,,,,0.13943879615479016
1.4,,,,,0.13225943234362847
1.45,,,,,0.12549031789310472
1.5,0.12211111111111111,0.11266666666666666,,,0.11910400853564496
1.55,,,,,0.11307533250220303
1.6,,,,,0.1073811507519069
1.65,,,,,0.10200014899787702
1.7,,,,,0.09691265643043057
1.75,0.10055555555555555,,,,0.0921004869901636
1.8,,,,,0.08754679979411673
1.85,,,,,0.08323597591519227
1.9,,,,,0.07915350919309738
1.95,,,,,0.07528590914058642
2.0,,0.074,0.058388888888888886,0.04644444444444444,0.07162061432159139
2.05,,,,,0.0681459148331841
2.1,,,,,0.06485088273295792
2.15,,,,,0.06172530942645771
2.2,,,,,0.05875964917284815
2.25,0.06577777777777778,,,,0.055944967986695016
2.3,,,,,0.053272897313973666
2.35,,,,,0.050735591944746083
2.4,,,,,0.04832569169618617
2.45,,,,,0.0460362864600542
2.5,,0.04744444444444444,,,0.04386088426017043
2.55,,,,,0.04179338200940097
2.6,,,,,0.039828038693375256
2.65,,,,,0.03795945074060014
2.7,,,,,0.03618252936664046
2.75,0.04788888888888889,,,,0.034492479704296475
2.8,,,,,0.03288478155277219
2.85,,,,,0.031355171597179154
2.9,,,,,0.029899626965751658
2.95,,,,,0.028514350006186073
3.0,,0.033,0.023444444444444445,0.010777777777777778,0.027195754174843767
3.05,,,,,0.0259404509434058
3.1,,,,,0.02474523763714498
3.15,,,,,0.023607086127441
3.2,,,,,0.02252313230867542
3.25,0.03222222222222222,,,,0.021490666296301142
3.3,,,,,0.020507123288820872
3.35,,,,,0.01957007504169428
3.4,,,,,0.01867722190592469
3.45,,,,,0.01782638538830894
3.5,,0.024,,,0.01701550119412909
3.55,,,,,0.016242612716476423
3.6,,,,,0.015505864939469038
3.65,,,,,0.014803498725388664
3.7,,,,,0.014133845458265348
3.75,0.02811111111111111,,,,0.013495322018694855
3.8,,,,,0.012886426066720524
3.85,,,,,0.012305731611469084
3.9,,,,,0.011751884847915006
3.95,,,,,0.011223600242678877
4.0,,,0.01211111111111111,0.003111111111111111,0.010719656852165027
4.05,,,,,0.010238894857614755
4.1,,,,,0.009780212302814228
4.15,,,,,0.00934256202125816
4.2,,,,,0.008924948740544503
4.25,0.021444444444444443,,,,0.00852642635266343
4.3,,,,,0.008146095339664372
4.35,,,,,0.007783100344932348
4.4,,,,,0.007436627880994973
4.45,,,,,0.007105904165418453
4.5,,0.014,,,0.0067901930769309615
4.55,,,,,0.006488794224454919
4.6,,,,,0.006201041122222861
4.65,,,,,0.005926299464613538
4.7,,,,,0.005663965494767109
4.75,0.014555555555555556,,,,0.005413464461432871
4.8,,,,,0.005174249158863664
4.85,,,,,0.004945798544910063
4.9,,,,,0.0047276164327795245
4.95,,,,,0.004519230252214013
5.0,,,0.0067777777777777775,0.00044444444444444447,0.00432018987611027
5.25,0.013777777777777778,,,,0.00345085633961828
5.5,,0.007,,,0.0027587628763555694
5.75,,,,,0.002207172587041506
6.0,,,0.003,0.00011111111111111112,0.00176712394987244
6.25,,,,,0.001415740909477048
6.5,,0.006333333333333333,,,0.0011349227686801022
6.75,,,,,0.0009103248881473514
7.0,,,0.0013333333333333333,0.0,0.0007305631342682251
7.25,,,,,0.0005865912152678288
7.5,0.008555555555555556,0.0032222222222222222,,,0.0004712121112164791
7.75,,,,,0.00037869385764488506
8.0,,,,,0.00030446678158646545
8.25,,,,,0.00024488448520232353
8.5,,0.0023333333333333335,,,0.00019703484089261813
8.75,,,,,0.0001585903070453476
9.0,,,0.0003333333333333333,0.0,0.00012768921994310567
9.25,,,,,0.0001028415319578313
9.5,,0.0022222222222222222,,,8.285387424999957e-05
9.75,,,,,6.676991812837318e-05
10.0,,,,,5.382286455679619e-05
10.5,,0.0016666666666666668,,,
11.0,,,0.0005555555555555556,0.0,2.2781768436841432e-05
11.25,0.0044444444444444444,,,,
13.0,,,0.0003333333333333333,0.0,
15.0,0.003,0.001,0.00011111111111111112,0.0,
17.0,,,0.00011111111111111112,0.0,
19.0,,,0.00011111111111111112,0.0,
21.0,,,0.0,0.0,
30.0,,,0.00011111111111111112,0.0,
