,kls=results&ty=por&q=0.48&ds=1.25&daa=100&scale=0.25,kls=results&ty=por&q=0.48&ds=2.5&daa=100&scale=0.5,kls=results&ty=por&q=0.48&ds=5&daa=100&scale=1,kls=results&ty=por&q=0.48&ds=10&daa=100&scale=2,kls=results&ty=por&q=0.48&ds=20&daa=100&scale=4,kls=results&ty=trad&q=0.48&ds=5&daa=100&scale=1,kls=analytical&ty=trad&q=0.48&ds=5.0&daa=0&scale=1
30.6,,,,,,,0.4842878581721597
30.8,,,,,,,0.48286098920635245
31.0,,,,,,,0.4814410285100317
31.2,,,,,,,0.48002791294037084
31.4,,,,,,,0.47862158032544433
31.6,,,,,,,0.47722196944296513
31.8,,,,,,,0.4758290199996229
32.0,,,,,,,0.4744426726110008
32.2,,,,,,,0.47306286878205295
32.4,,,,,,,0.47168955088812226
32.6,,,,,,,0.4703226621564801
32.8,,,,,,,0.468962146648372
33.0,,,,,,,0.46760794924155036
33.2,,,,,,,0.46626001561327957
33.4,,,,,,,0.4649182922237973
33.6,,,,,,,0.46358272630021746
33.8,,,,,,,0.46225326582085957
34.0,,,,0.3768888888888889,,,0.46092985949999243
34.2,,,,,,,0.45961245677297613
34.4,,,,,,,0.45830100778179284
34.6,,,,,,,0.4569954633609512
34.8,,,,,,,0.4556957750237546
35.0,,,,,,,0.45440189494892
35.2,,,,,,,0.45311377596753855
35.4,,,,,,,0.45183137155036557
35.6,,,,,,,0.45055463579542976
35.8,,,,,,,0.4492835234159539
36.0,,,,,0.38711111111111113,,0.44801798972857476
36.2,,,,,,,0.44675799064185506
36.4,,,,,,,0.445503482645078
36.6,,,,,,,0.44425442279731553
36.8,,,,,,,0.4430107687167629
37.0,,,,,,,0.44177247857033175
37.2,,,,,,,0.4405395110634922
37.4,,,,,,,0.4393118254303593
37.6,,,,,,,0.4380893814240151
37.8,,,,,,,0.4368721393070597
38.0,,,,0.35,,,0.43566005984238443
38.2,,,,,,,0.43445310428416195
38.4,,,,,,,0.43325123436904545
38.6,,,,,,,0.43205441230757247
38.8,,,,,,,0.4308626007757662
39.0,,,,,,,0.42967576290692977
39.2,,,,,,,0.42849386228362774
39.4,,,,,,,0.4273168629298493
39.6,,,,,,,0.42614472930334846
39.8,,,,,,,0.42497742628815693
40.0,,,,,,,0.423814919187263
40.2,,,,,,,0.4226571737154543
40.4,,,,,,,0.4215041559923186
40.6,,,,,,,0.4203558325353982
40.8,,,,,,,0.4192121702534951
41.0,,,,,,,0.4180731364401211
41.2,,,,,,,0.41693869876709067
41.4,,,,,,,0.41580882527825147
41.6,,,,,,,0.4146834843833501
41.8,,,,,,,0.4135626448520284
42.0,,,,0.33566666666666667,,,0.41244627580794746
42.2,,,,,,,0.41133434672303604
42.4,,,,,,,0.41022682741186045
42.6,,,,,,,0.40912368802611165
42.8,,,,,,,0.40802489904920813
43.0,,,,,,,0.4069304312910099
43.2,,,,,,,0.40584025588264305
43.4,,,,,,,0.40475434427142887
43.6,,,,,,,0.4036726682159185
43.8,,,,,,,0.40259519978102776
44.0,,,,,0.33266666666666667,,0.40152191133327075
44.2,,,,,,,0.4004527755360897
44.4,,,,,,,0.3993877653452791
44.6,,,,,,,0.39832685400449996
44.8,,,,,,,0.39727001504088555
45.0,,,0.2773333333333333,,,,0.39621722226073186
45.2,,,,,,,0.39516844974527454
45.4,,,,,,,0.39412367184654873
45.6,,,,,,,0.39308286318332897
45.8,,,,,,,0.39204599863714873
46.0,,,,,,,0.3910130533483972
46.2,,,,,,,0.3899840027124909
52.0,,,,,0.31366666666666665,,
60.0,,,0.21088888888888888,0.25766666666666665,0.26966666666666667,,
68.0,,,,,0.25633333333333336,,
76.0,,,,,0.2301111111111111,,
84.0,,,,,0.21611111111111111,,
120.0,,,,,0.1468888888888889,,
