,kls=results&ty=por&q=0.48&ds=1.25&daa=500&scale=0.0625,kls=results&ty=por&q=0.48&ds=2.5&daa=500&scale=0.125,kls=results&ty=por&q=0.48&ds=5&daa=500&scale=0.25,kls=results&ty=por&q=0.48&ds=10&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=20&daa=500&scale=1,kls=results&ty=trad&q=0.48&ds=20&daa=500&scale=1,kls=analytical&ty=trad&q=0.48&ds=20.0&daa=0&scale=1
0.05,,,,,,,0.96
0.0625,0.9513888888888888,,,,,,
0.1,,,,,,,0.940032
0.125,0.8881111111111111,0.9093888888888889,,,,,
0.15,,,,,,,0.9250799616
0.1875,0.847,,,,,,
0.2,,,,,,,0.9126398656511999
0.25,0.8085555555555556,0.8571111111111112,0.8411111111111111,,,,0.9017721978303282
0.3,,,,,,,0.8920069462332058
0.3125,0.7848888888888889,,,,,,
0.35,,,,,,,0.8830697879715192
0.375,0.7625555555555555,0.8257777777777778,,,,,
0.4,,,,,,,0.8747842762207992
0.4375,0.7428888888888889,,,,,,
0.45,,,,,,,0.8670290372221252
0.5,,0.7883333333333333,0.7977222222222222,0.7710555555555556,,,0.8597163638623089
0.55,,,,,,,0.8527804394339903
0.5625,0.7001111111111111,,,,,,
0.6,,,,,,,0.8461703773460858
0.625,,0.766,,,,,
0.65,,,,,,,0.8398458699403788
0.6875,0.643,,,,,,
0.7,,,,,,,0.8337743428309
0.75,,0.7332222222222222,0.7582222222222222,,,,0.8279290234743001
0.8,,,,,,,0.8222875888568584
0.8125,0.6277777777777778,,,,,,
0.85,,,,,,,0.8168311932948689
0.875,,0.7115555555555556,,,,,
0.9,,,,,,,0.8115437534166341
0.9375,0.6038888888888889,,,,,,
0.95,,,,,,,0.8064114117748274
1.0,,,0.7282222222222222,0.7078333333333333,0.7603333333333333,0.7678333333333334,0.8014221274032052
1.05,,,,,,,0.796565358424493
1.0625,0.5645555555555556,,,,,,
1.1,,,,,,,0.7918318126130124
1.125,,0.6775555555555556,,,,,
