,kls=results&ty=por&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=por&q=0.48&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.48&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.48&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.48&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.48&ds=2.0&daa=100&scale=2.0,kls=results&ty=por&q=0.48&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.48&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.48&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.48&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.48&ds=3.0&daa=100&scale=3.0,kls=results&ty=trad&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=trad&q=0.48&ds=3.0&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.48&ds=1.0&daa=0&scale=1
33.25,,,,0.559,,,,,,,,,,
33.75,,,,,,,0.583,,,,,,,
34.0,,,,,,0.558,,,,,,,,0.7423297112910916
35.0,,,,,,,,,,,,,,0.7386779326629146
35.75,,,,,,,,,0.592,,,,,
36.0,,,,,,,,,,,,,,0.7350840816774337
36.1,,,,,0.567,,,,,,,,,
36.75,,,,0.559,,,,,,,,,,
37.0,,,,,,,,,,,,,,0.7315458155871949
37.5,,0.4458888888888889,,,,,,0.5601111111111111,,,,,,
37.699999999999996,,,,,,,,,,0.567,,,,
38.0,,,,,,0.548,,,,,,,,0.7280609486262747
38.25,,,,,,,0.526,,,,,,,
39.0,,,,,,,,,,,0.6,,0.6445454545454545,0.7246274375995154
39.9,,,,,0.49,,,,,,,,,
40.0,,,,,,,,,,,,,,0.7212433691315415
41.0,,,,,,,,,,,,,,0.7179069483475967
41.25,,,,,,,,,0.593,,,,,
42.0,0.389,,,,,0.505,,,,,,0.6090909090909091,,0.7146164887943536
42.5,,,,,,,,0.5412222222222223,,,,,,
42.75,,,,,,,0.517,,,,,,,
43.0,,,,,,,,,,,,,,0.7113704034385142
43.5,,,,,,,,,,0.564,,,,
44.0,,,,,,,,,,,,,,0.7081671966055149
45.0,,,0.444,,,,,,,,0.537,,0.61,0.7050054567409717
46.0,,,,,,,,,,,,,,0.7018838498944425
46.75,,,,,,,,,0.522,,,,,
47.0,,,,,,,,,,,,,,0.6988011138392545
47.25,,,,,,,0.505,,,,,,,
47.5,,,,,,,,0.519,,,,,,
48.0,,,,,,,,,,,,,,0.6957560527540685
49.0,,,,,,,,,,,,,,0.6927475324019048
49.3,,,,,,,,,,0.545,,,,
50.0,,,,,,,,,,,,,,0.6897744757508719
51.0,,,,,,,,,,,0.533,,0.5945454545454546,0.6868358589880845
52.0,,,,,,,,,,,,,,0.683930707884431
52.25,,,,,,,,,0.511,,,,,
52.5,,0.3606666666666667,,0.441,,,,0.5051111111111111,,,,,,
53.0,,,,,,,,,,,,,,0.6810580944731385
54.0,,,,,,,,,,,,,,0.6782171340096232
55.0,,,,,,,,,,,,,,0.6754069821840234
55.1,,,,,,,,,,0.506,,,,
56.0,,,,,,,,,,,,,,0.672626832561187
57.0,,,,,0.45,,,,,,0.516,,0.5736363636363636,0.6698759142258136
57.75,,,,,,,,,0.531,,,,,
58.0,,,,,,,,,,,,,,0.6671534896129877
59.0,,,,,,,,,,,,,,0.6644588525065547
60.0,0.277,,,,,0.415,,,,,,0.5509090909090909,,0.6617913261897215
60.9,,,,,,,,,,0.47,,,,
61.0,,,,,,,,,,,,,,0.6591502617339511
62.0,,,,,,,,,,,,,,0.6565350364137087
63.0,,,0.359,,,,,,,,0.513,,0.5645454545454546,0.653945052235912
64.0,,,,,,,,,,,,,,0.6513797345740943
65.0,,,,,,,,,,,,,,0.6488385308982977
66.0,,,,,,,,,,,,,,0.6463209095926125
67.0,,,,,,,,,,,,,,0.6438263588530739
67.5,,,,,,,0.419,,,,,,,
68.0,,,,,,,,,,,,,,0.6413543856593331
69.0,,,,,,,,,,,,,,0.6389045148141483
70.0,,,,,,,,,,,,,,0.6364762880452999
71.0,,,,,,,,,,,,,,0.6340692631650391
72.0,,,,,,,,,,,,,,0.6316830132826179
73.0,,,,,,,,,,,,,,0.6293171260658601
73.5,,,,0.387,,,,,,,,,,
74.0,,,,,,,,,,,,,,0.6269712030480821
75.0,,0.2841111111111111,,,,,,0.41944444444444445,,,,,,0.6246448589770037
76.0,,,,,,,,,,,,,,0.6223377212025762
77.0,,,,,,,,,,,,,,0.6200494291009168
78.0,,,,,,,,,,,,,,0.6177796335317777
79.0,,,,,,,,,,,,,,0.6155279963271917
79.8,,,,,0.342,,,,,,,,,
80.0,,,,,,,,,,,,,,0.6132941898091271
81.0,,,,,,,,,,,,,,0.6110778963341641
82.0,,,,,,,,,,,,,,0.6088788078633622
82.5,,,,,,,,,0.406,,,,,
83.0,,,,,,,,,,,,,,0.6066966255556336
84.0,,,,,,0.382,,,,,,,,0.6045310593830674
85.0,,,,,,,,,,,,,,0.6023818277667743
86.0,,,,,,,,,,,,,,0.6002486572319242
87.0,,,,,,,,,,0.425,,,,0.5981312820807556
88.0,,,,,,,,,,,,,,0.5960294440824203
