,kls=results&ty=por&q=0.4&ds=1.25&daa=500&scale=0.25,kls=results&ty=por&q=0.4&ds=2.5&daa=500&scale=0.5,kls=results&ty=por&q=0.4&ds=5&daa=500&scale=1,kls=results&ty=por&q=0.4&ds=10&daa=500&scale=2,kls=results&ty=por&q=0.4&ds=20&daa=500&scale=4,kls=results&ty=trad&q=0.4&ds=5&daa=500&scale=1,kls=analytical&ty=trad&q=0.4&ds=5.0&daa=0&scale=1
0.2,,,,,,,0.8
0.25,0.8408333333333333,,,,,,
0.4,,,,,,,0.7040000000000001
0.5,0.6268333333333334,0.7306666666666667,,,,,
0.6,,,,,,,0.6348800000000001
0.75,0.49366666666666664,,,,,,
0.8,,,,,,,0.5795840000000001
1.0,0.39611111111111114,0.5291666666666667,0.5543888888888889,,,0.5606666666666666,0.5331353600000002
1.2,,,,,,,0.49300373504000006
1.25,0.34,,,,,,
1.4,,,,,,,0.4576879050752001
1.5,0.288,0.4088888888888889,,,,,
1.6,,,,,,,0.4262063652208641
1.75,0.23833333333333334,,,,,,
1.8,,,,,,,0.39787297935196175
2.0,,0.32622222222222225,0.3681111111111111,0.3848888888888889,,0.3795,0.3721840428308235
2.2,,,,,,,0.34875573272354554
2.25,0.18022222222222223,,,,,,
2.4,,,,,,,0.32728688127978534
2.5,,0.27366666666666667,,,,,
2.6,,,,,,,0.3075355379515259
2.75,0.1471111111111111,,,,,,
2.8,,,,,,,0.2893035287254403
3.0,,0.21888888888888888,0.2653333333333333,,,0.2783333333333333,0.27242589732757816
3.2,,,,,,,0.25676345539036216
3.25,0.11633333333333333,,,,,,
3.4,,,,,,,0.24219738438875127
3.5,,0.19477777777777777,,,,,
3.6,,,,,,,0.22862523352607378
3.75,0.09055555555555556,,,,,,
3.8,,,,,,,0.21595789272090815
4.0,,,0.20022222222222222,0.199,0.21194444444444444,0.21155555555555555,0.20411726257881646
4.2,,,,,,,0.19303443276581878
4.25,0.07666666666666666,,,,,,
4.4,,,,,,,0.18264823796963792
4.5,,0.14266666666666666,,,,,
4.6,,,,,,,0.1729040988517665
4.75,0.06566666666666666,,,,,,
4.8,,,,,,,0.16375308124541765
5.0,,,0.15466666666666667,,,0.165,0.15515112469544978
5.2,,,,,,,0.14705840397324
5.25,0.05611111111111111,,,,,,
5.4,,,,,,,0.13943879615479016
5.5,,0.11088888888888888,,,,,
5.6,,,,,,,0.13225943234362847
5.8,,,,,,,0.12549031789310472
6.0,,,0.12377777777777778,0.11955555555555555,,0.12411111111111112,0.11910400853564496
6.2,,,,,,,0.11307533250220303
6.4,,,,,,,0.1073811507519069
6.5,,0.08411111111111111,,,,,
6.6,,,,,,,0.10200014899787702
6.8,,,,,,,0.09691265643043057
7.0,,,0.09866666666666667,,,0.09355555555555556,0.0921004869901636
7.2,,,,,,,0.08754679979411673
7.4,,,,,,,0.08323597591519227
7.5,0.028,0.065,,,,,
7.6,,,,,,,0.07915350919309738
7.8,,,,,,,0.07528590914058642
8.0,,,,0.07744444444444444,0.06505555555555556,,0.07162061432159139
8.2,,,,,,,0.0681459148331841
8.4,,,,,,,0.06485088273295792
8.5,,0.05011111111111111,,,,,
8.6,,,,,,,0.06172530942645771
8.8,,,,,,,0.05875964917284815
