,kls=results&ty=por&q=0.4&ds=1.25&daa=100&scale=0.25,kls=results&ty=por&q=0.4&ds=2.5&daa=100&scale=0.5,kls=results&ty=por&q=0.4&ds=5&daa=100&scale=1,kls=results&ty=por&q=0.4&ds=10&daa=100&scale=2,kls=results&ty=por&q=0.4&ds=20&daa=100&scale=4,kls=results&ty=trad&q=0.4&ds=5&daa=100&scale=1,kls=analytical&ty=trad&q=0.4&ds=5.0&daa=0&scale=1
0.2,,,,,,,0.8
0.25,0.846,,,,,,
0.4,,,,,,,0.7040000000000001
0.5,0.6244444444444445,0.7381111111111112,,,,,
0.6,,,,,,,0.6348800000000001
0.75,0.4981111111111111,,,,,,
0.8,,,,,,,0.5795840000000001
1.0,0.39755555555555555,0.5332777777777777,0.5488888888888889,,,0.5487222222222222,0.5331353600000002
1.2,,,,,,,0.49300373504000006
1.25,0.3378888888888889,,,,,,
1.4,,,,,,,0.4576879050752001
1.5,0.28633333333333333,0.4063333333333333,,,,,
1.6,,,,,,,0.4262063652208641
1.75,0.243,,,,,,
1.8,,,,,,,0.39787297935196175
2.0,,0.329,0.36822222222222223,0.38172222222222224,,0.37555555555555553,0.3721840428308235
2.2,,,,,,,0.34875573272354554
2.25,0.18222222222222223,,,,,,
2.4,,,,,,,0.32728688127978534
2.5,,0.2723333333333333,,,,,
2.6,,,,,,,0.3075355379515259
2.75,0.14255555555555555,,,,,,
2.8,,,,,,,0.2893035287254403
3.0,,0.2238888888888889,0.26122222222222224,,,0.26122222222222224,0.27242589732757816
3.2,,,,,,,0.25676345539036216
3.25,0.11822222222222223,,,,,,
3.4,,,,,,,0.24219738438875127
3.5,,0.19566666666666666,,,,,
3.6,,,,,,,0.22862523352607378
3.75,0.08744444444444445,,,,,,
3.8,,,,,,,0.21595789272090815
4.0,,,0.2038888888888889,0.1942222222222222,0.18755555555555556,0.18622222222222223,0.20411726257881646
4.2,,,,,,,0.19303443276581878
4.25,0.07677777777777778,,,,,,
4.4,,,,,,,0.18264823796963792
4.5,,0.13766666666666666,,,,,
4.6,,,,,,,0.1729040988517665
4.75,0.065,,,,,,
4.8,,,,,,,0.16375308124541765
5.0,,,0.1511111111111111,,,0.13355555555555557,0.15515112469544978
5.2,,,,,,,0.14705840397324
5.25,0.05677777777777778,,,,,,
5.4,,,,,,,0.13943879615479016
5.5,,0.11333333333333333,,,,,
5.6,,,,,,,0.13225943234362847
5.8,,,,,,,0.12549031789310472
6.0,,,0.12211111111111111,0.11266666666666666,,0.0951111111111111,0.11910400853564496
6.2,,,,,,,0.11307533250220303
6.4,,,,,,,0.1073811507519069
6.5,,0.08722222222222223,,,,,
6.6,,,,,,,0.10200014899787702
6.8,,,,,,,0.09691265643043057
7.0,,,0.10055555555555555,,,0.069,0.0921004869901636
7.2,,,,,,,0.08754679979411673
7.4,,,,,,,0.08323597591519227
7.5,0.028666666666666667,0.0661111111111111,,,,,
7.6,,,,,,,0.07915350919309738
7.8,,,,,,,0.07528590914058642
8.0,,,,0.074,0.058388888888888886,,0.07162061432159139
8.2,,,,,,,0.0681459148331841
8.4,,,,,,,0.06485088273295792
8.5,,0.05577777777777778,,,,,
8.6,,,,,,,0.06172530942645771
8.8,,,,,,,0.05875964917284815
9.0,,,0.06577777777777778,,,0.03344444444444444,0.055944967986695016
9.2,,,,,,,0.053272897313973666
9.4,,,,,,,0.050735591944746083
9.5,,0.04733333333333333,,,,,
9.6,,,,,,,0.04832569169618617
9.8,,,,,,,0.0460362864600542
10.0,,,,0.04744444444444444,,,0.04386088426017043
10.2,,,,,,,0.04179338200940097
10.4,,,,,,,0.039828038693375256
10.5,0.016444444444444446,0.04111111111111111,,,,,
10.6,,,,,,,0.03795945074060014
10.8,,,,,,,0.03618252936664046
11.0,,,0.04788888888888889,,,0.018444444444444444,0.034492479704296475
11.2,,,,,,,0.03288478155277219
11.4,,,,,,,0.031355171597179154
11.6,,,,,,,0.029899626965751658
11.8,,,,,,,0.028514350006186073
12.0,,,,0.033,0.023444444444444445,,0.027195754174843767
12.2,,,,,,,0.0259404509434058
12.4,,,,,,,0.02474523763714498
12.6,,,,,,,0.023607086127441
12.8,,,,,,,0.02252313230867542
13.0,,,0.03222222222222222,,,0.0074444444444444445,0.021490666296301142
13.2,,,,,,,0.020507123288820872
13.4,,,,,,,0.01957007504169428
13.6,,,,,,,0.01867722190592469
13.8,,,,,,,0.01782638538830894
14.0,,,,0.024,,,0.01701550119412909
14.2,,,,,,,0.016242612716476423
14.4,,,,,,,0.015505864939469038
14.6,,,,,,,0.014803498725388664
14.8,,,,,,,0.014133845458265348
15.0,0.009,0.023555555555555555,0.02811111111111111,,,0.0035555555555555557,0.013495322018694855
15.2,,,,,,,0.012886426066720524
15.4,,,,,,,0.012305731611469084
15.6,,,,,,,0.011751884847915006
15.8,,,,,,,0.011223600242678877
16.0,,,,,0.01211111111111111,,0.010719656852165027
16.2,,,,,,,0.010238894857614755
16.4,,,,,,,0.009780212302814228
16.6,,,,,,,0.00934256202125816
16.8,,,,,,,0.008924948740544503
17.0,,,0.021444444444444443,,,0.0022222222222222222,0.00852642635266343
17.2,,,,,,,0.008146095339664372
17.4,,,,,,,0.007783100344932348
17.6,,,,,,,0.007436627880994973
17.8,,,,,,,0.007105904165418453
18.0,,,,0.014,,,0.0067901930769309615
18.2,,,,,,,0.006488794224454919
18.4,,,,,,,0.006201041122222861
18.6,,,,,,,0.005926299464613538
18.8,,,,,,,0.005663965494767109
19.0,,,0.014555555555555556,,,0.0005555555555555556,0.005413464461432871
19.2,,,,,,,0.005174249158863664
19.4,,,,,,,0.004945798544910063
19.6,,,,,,,0.0047276164327795245
19.8,,,,,,,0.004519230252214013
20.0,,,,,0.0067777777777777775,,0.00432018987611027
20.2,,,,,,,0.004130066508855945
20.4,,,,,,,0.003948451632888705
20.6,,,,,,,0.003774956010199948
20.8,,,,,,,0.003609208735708913
21.0,,0.011444444444444445,0.013777777777777778,,,0.0005555555555555556,0.00345085633961828
21.2,,,,,,,0.003299561936039086
21.4,,,,,,,0.0031550044153363377
21.6,,,,,,,0.003016877677797458
21.8,,,,,,,0.0028848899063714795
22.0,,,,0.007,,,0.0027587628763555694
22.2,,,,,,,0.0026382313000349322
22.4,,,,,,,0.0025230422043944767
22.6,,,,,,,0.002412954340132334
22.8,,,,,,,0.0023077376203065603
23.0,,,,,,,0.002207172587041506
23.2,,,,,,,0.0021110499048111464
23.4,,,,,,,0.00201916987889994
23.6,,,,,,,0.0019313419977212698
23.8,,,,,,,0.0018473844977470177
24.0,,,,,0.003,,0.00176712394987244
24.2,,,,,,,0.0016903948661043389
24.4,,,,,,,0.0016170393255234838
24.6,,,,,,,0.0015469066185287428
24.8,,,,,,,0.001479852908426449
25.0,,,,,,,0.001415740909477048
25.2,,,,,,,0.0013544395805615839
25.4,,,,,,,0.0012958238336748806
25.6,,,,,,,0.0012397742564942416
25.8,,,,,,,0.0011861768483153456
26.0,,,,0.006333333333333333,,,0.0011349227686801022
26.2,,,,,,,0.001085908098062749
