,kls=results&ty=por&q=0.4&ds=20.0&daa=500&scale=1,kls=results&ty=por&q=0.44&ds=20.0&daa=500&scale=1,kls=results&ty=trad&q=0.4&ds=20.0&daa=500&scale=1,kls=results&ty=trad&q=0.44&ds=20.0&daa=500&scale=1,kls=analytical&ty=trad&q=0.4&ds=20.0&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=20.0&daa=0&scale=1
0.05,,,,,0.8,0.88
0.1,,,,,0.7040000000000001,0.820864
0.15,,,,,0.6348800000000001,0.7771506688
0.2,,,,,0.5795840000000001,0.7412474527744
0.25,,,,,0.5331353600000002,0.7102845192739226
0.3,,,,,0.49300373504000006,0.682819158741659
0.35,,,,,0.4576879050752001,0.6580051210127768
0.4,,,,,0.4262063652208641,0.6352953136833036
0.45,,,,,0.39787297935196175,0.6143114517108704
0.5,,,,,0.3721840428308235,0.594778740370842
0.55,,,,,0.34875573272354554,0.5764898720889466
0.6,,,,,0.32728688127978534,0.5592837048093393
0.65,,,,,0.3075355379515259,0.543031906274841
0.7,,,,,0.2893035287254403,0.5276302018175318
0.75,,,,,0.27242589732757816,0.5129924219013051
0.8,,,,,0.25676345539036216,0.4990463258787199
0.85,,,,,0.24219738438875127,0.4857305933963555
0.9,,,,,0.22862523352607378,0.47299260704804946
0.95,,,,,0.21595789272090815,0.4607867854627393
1.0,0.21194444444444444,0.4492777777777778,0.2117777777777778,0.4588888888888889,0.20411726257881646,0.44907330817548086
1.05,,,,,0.19303443276581878,0.43781712504151704
1.1,,,,,0.18264823796963792,0.4269871760422259
1.15,,,,,0.1729040988517665,0.4165557691661086
1.2,,,,,0.16375308124541765,0.40649807877981403
1.25,,,,,0.15515112469544978,0.39679173704434734
1.3,,,,,0.14705840397324,0.3874164980381609
1.35,,,,,0.13943879615479016,0.37835395931144233
1.4,,,,,0.13225943234362847,0.3695873292566303
1.45,,,,,0.12549031789310472,0.3611012313635722
1.5,,,,,0.11910400853564496,0.35288153841954306
1.55,,,,,0.11307533250220303,0.3449152312100019
1.6,,,,,0.1073811507519069,0.3371902774111446
1.65,,,,,0.10200014899787702,0.3296955272354932
1.7,,,,,0.09691265643043057,0.3224206230649943
1.75,,,,,0.0921004869901636,0.3153559208314689
1.8,,,,,0.08754679979411673,0.3084924213175543
1.85,,,,,0.08323597591519227,0.3018217098788749
1.9,,,,,0.07915350919309738,0.29533590334969584
1.95,,,,,0.07528590914058642,0.2890276031044733
2.0,0.06505555555555556,0.2607777777777778,0.07011111111111111,0.2857777777777778,0.07162061432159139,0.28288985341767536
2.05,,,,,0.0681459148331841,0.2769161044025087
2.1,,,,,0.06485088273295792,0.27110017892229876
2.15,,,,,0.06172530942645771,0.2654362429613051
2.2,,,,,0.05875964917284815,0.25991877901865146
2.25,,,,,0.055944967986695016,0.2545425621529298
2.3,,,,,0.053272897313973666,0.24930263835832844
2.35,,,,,0.050735591944746083,0.2441943049978037
2.4,,,,,0.04832569169618617,0.23921309305639538
2.45,,,,,0.0460362864600542,0.23435475100954173
2.5,,,,,0.04386088426017043,0.22961523012817686
2.55,,,,,0.04179338200940097,0.22499067106531045
2.6,,,,,0.039828038693375256,0.22047739158836455
2.65,,,,,0.03795945074060014,0.2160718753383143
2.7,,,,,0.03618252936664046,0.21177076151109553
2.75,,,,,0.034492479704296475,0.20757083536917487
2.8,,,,,0.03288478155277219,0.20346901950192942
2.85,,,,,0.031355171597179154,0.19946236576280407
2.9,,,,,0.029899626965751658,0.1955480478193229
2.95,,,,,0.028514350006186073,0.19172335425909925
3.0,0.034,0.17877777777777779,0.024444444444444446,0.17266666666666666,0.027195754174843767,0.18798568220116796
3.05,,,,,0.0259404509434058,0.18433253136737338
3.1,,,,,0.02474523763714498,0.18076149857330504
3.15,,,,,0.023607086127441,0.17727027260245376
3.2,,,,,0.02252313230867542,0.1738566294309547
3.25,,,,,0.021490666296301142,0.17051842777354576
3.3,,,,,0.020507123288820872,0.16725360492426156
3.35,,,,,0.01957007504169428,0.16406017286794838
3.4,,,,,0.01867722190592469,0.16093621464096775
3.45,,,,,0.01782638538830894,0.15787988092148886
3.5,,,,,0.01701550119412909,0.15488938683158437
3.55,,,,,0.016242612716476423,0.1519630089349674
3.6,,,,,0.015505864939469038,0.1490990824156596
3.65,,,,,0.014803498725388664,0.14629599842418428
3.7,,,,,0.014133845458265348,0.14355220157904924
3.75,,,,,0.013495322018694855,0.14086618761233927
3.8,,,,,0.012886426066720524,0.13823650114918706
3.85,,,,,0.012305731611469084,0.1356617336117497
3.9,,,,,0.011751884847915006,0.13314052123909093
3.95,,,,,0.011223600242678877,0.130671543215076
4.0,0.014888888888888889,0.1282222222222222,0.008222222222222223,0.11466666666666667,0.010719656852165027,0.12825351989701494
4.05,,,,,0.010238894857614755,0.12588521113837325
4.1,,,,,0.009780212302814228,0.12356541469938997
4.15,,,,,0.00934256202125816,0.12129296473992235
4.2,,,,,0.008924948740544503,0.11906673038926896
4.25,,,,,0.00852642635266343,0.11688561438812217
4.3,,,,,0.008146095339664372,0.1147485517981609
4.35,,,,,0.007783100344932348,0.11265450877512684
4.4,,,,,0.007436627880994973,0.11060248140152962
4.45,,,,,0.007105904165418453,0.1085914945754044
4.5,,,,,0.0067901930769309615,0.10662060095179915
4.55,,,,,0.006488794224454919,0.10468887993390386
4.6,,,,,0.006201041122222861,0.10279543671094793
4.65,,,,,0.005926299464613538,0.10093940134018797
4.7,,,,,0.005663965494767109,0.09911992787049517
4.75,,,,,0.005413464461432871,0.09733619350521128
4.8,,,,,0.005174249158863664,0.09558739780210546
4.85,,,,,0.004945798544910063,0.09387276190840033
4.9,,,,,0.0047276164327795245,0.09219152782897089
4.95,,,,,0.004519230252214013,0.09054295772594179
5.0,0.008222222222222223,0.09377777777777778,0.0035555555555555557,0.0748888888888889,0.00432018987611027,0.08892633324802035
5.25,,,,,0.00345085633961828,0.08129853824284028
5.5,,,,,0.0027587628763555694,0.07437178298441338
5.75,,,,,0.002207172587041506,0.06807478201789274
6.0,0.0028888888888888888,0.06822222222222223,0.001,0.045,0.00176712394987244,0.06234458603121862
6.25,,,,,0.001415740909477048,0.057125422738935505
6.5,,,,,0.0011349227686801022,0.052367731787898664
6.75,,,,,0.0009103248881473514,0.04802735508537348
7.0,0.0017777777777777779,0.050555555555555555,0.00044444444444444447,0.03277777777777778,0.0007305631342682251,0.04406485283893202
7.25,,,,,0.0005865912152678288,0.040444922179472265
7.5,,,,,0.0004712121112164791,0.03713590017418078
7.75,,,,,0.00037869385764488506,0.03410933678049777
8.0,,,,,0.00030446678158646545,0.03133962616345154
8.25,,,,,0.00024488448520232353,0.028803687022765145
8.5,,,,,0.00019703484089261813,0.026480684314962644
8.75,,,,,0.0001585903070453476,0.024351786127041253
9.0,0.0006666666666666666,0.025111111111111112,0.0,0.011777777777777778,0.00012768921994310567,0.02239995054862931
9.25,,,,,0.0001028415319578313,0.020609738263121513
9.5,,,,,8.285387424999957e-05,0.01896714728319182
9.75,,,,,6.676991812837318e-05,0.017459466828726566
10.0,,,,,5.382286455679619e-05,0.016075147813363833
11.0,0.0003333333333333333,0.01911111111111111,0.0,0.004333333333333333,2.2781768436841432e-05,0.011575062008946424
12.0,,,,,9.676582488737928e-06,0.00835848514296833
13.0,0.0003333333333333333,0.008777777777777778,0.0,0.002111111111111111,4.122334180456377e-06,0.0060505129977967975
14.0,,,,,1.7606441314876875e-06,0.0043891176086762185
15.0,0.0003333333333333333,0.006111111111111111,0.0,0.0005555555555555556,7.536383840323069e-07,0.003189841462822196
16.0,,,,,3.2322122678341003e-07,0.0023220651880259124
17.0,0.00044444444444444447,0.0038888888888888888,0.0,0.00022222222222222223,1.3886249583539012e-07,0.0016928375454223765
18.0,,,,,5.974987393742026e-08,0.001235737198252096
19.0,0.00011111111111111112,0.0035555555555555557,0.0,0.0,2.5744666731775112e-08,0.0009031317365807423
20.0,,,,,1.1106500719115786e-08,0.0006607578531383496
21.0,0.0005555555555555556,0.0022222222222222222,0.0,0.00022222222222222223,4.796855024302715e-09,0.0004839030733969629
22.0,,,,,2.073870852825621e-09,0.000354701613005437
23.0,,,,,8.974588849852694e-10,0.0002602106442954888
24.0,,,,,3.887066224450564e-10,0.0001910364266813902
25.0,,,,,1.6849011075237286e-10,0.00014034981416344294
26.0,,,,,7.308798011251838e-11,0.00010317869369103061
27.0,,,,,3.1725844173990936e-11,7.589812666741746e-05
28.0,,,,,1.3780199203949905e-11,5.5862100439285634e-05
29.0,,,,,5.9889870840379444e-12,4.1137008141900466e-05
30.0,0.00011111111111111112,0.0013333333333333333,0.0,0.0,2.6043611711656922e-12,3.030839654882822e-05
31.0,,,,,1.1330936189324348e-12,2.2340605772996902e-05
