,kls=results&ty=por&q=0.4&ds=5&daa=20&scale=1,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=2,kls=results&ty=por&q=0.4&ds=20&daa=20&scale=4,kls=results&ty=trad&q=0.4&ds=5&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=5&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=20&scale=2,kls=results&ty=por&q=0.44&ds=20&daa=20&scale=4,kls=results&ty=trad&q=0.44&ds=5&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=5&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=5&daa=0&scale=1
1.0,0.5160555555555556,,,0.5183333333333333,0.6757222222222222,,,0.6832777777777778,0.5331353600000002,0.7102845192739226
2.0,0.3441666666666667,0.32055555555555554,,0.3174444444444444,0.5345,0.5232777777777777,,0.5261111111111111,0.3721840428308235,0.594778740370842
3.0,0.2554444444444444,,,0.1981111111111111,0.4488888888888889,,,0.43033333333333335,0.27242589732757816,0.5129924219013051
4.0,0.197,0.15461111111111112,0.12877777777777777,0.12677777777777777,0.39011111111111113,0.365,0.3591666666666667,0.3622222222222222,0.20411726257881646,0.44907330817548086
5.0,0.1592222222222222,,,0.08911111111111111,0.34833333333333333,,,0.2946666666666667,0.15515112469544978,0.39679173704434734
6.0,0.12688888888888888,0.09911111111111111,,0.05388888888888889,0.30077777777777776,0.28655555555555556,,0.25144444444444447,0.11910400853564496,0.35288153841954306
7.0,0.10077777777777777,,,0.03855555555555556,0.2693333333333333,,,0.20844444444444443,0.0921004869901636,0.3153559208314689
8.0,,0.06533333333333333,0.035111111111111114,,,0.23466666666666666,0.18911111111111112,,0.07162061432159139,0.28288985341767536
9.0,0.07211111111111111,,,0.019333333333333334,0.218,,,0.14677777777777778,0.055944967986695016,0.2545425621529298
10.0,,0.04577777777777778,,,,0.18888888888888888,,,0.04386088426017043,0.22961523012817686
11.0,0.052333333333333336,,,0.009222222222222222,0.184,,,0.10522222222222222,0.034492479704296475,0.20757083536917487
12.0,,0.02988888888888889,0.020444444444444446,,,0.15933333333333333,0.1218888888888889,,0.027195754174843767,0.18798568220116796
13.0,0.04111111111111111,,,0.005333333333333333,0.15166666666666667,,,0.08211111111111111,0.021490666296301142,0.17051842777354576
14.0,,0.02022222222222222,,,,0.1282222222222222,,,0.01701550119412909,0.15488938683158437
15.0,0.027444444444444445,,,0.003111111111111111,0.12166666666666667,,,0.05977777777777778,0.013495322018694855,0.14086618761233927
16.0,,,0.009111111111111111,,,,0.0898888888888889,,0.010719656852165027,0.12825351989701494
17.0,0.02822222222222222,,,0.0012222222222222222,0.10755555555555556,,,0.04533333333333334,0.00852642635266343,0.11688561438812217
18.0,,0.013222222222222222,,,,0.09588888888888888,,,0.0067901930769309615,0.10662060095179915
19.0,0.02288888888888889,,,0.0003333333333333333,0.09566666666666666,,,0.03211111111111111,0.005413464461432871,0.09733619350521128
20.0,,,0.004888888888888889,,,,0.06855555555555555,,0.00432018987611027,0.08892633324802035
21.0,0.015,,,0.0003333333333333333,0.08366666666666667,,,0.024,0.00345085633961828,0.08129853824284028
22.0,,0.009555555555555555,,,,0.0651111111111111,,,0.0027587628763555694,0.07437178298441338
23.0,,,,,,,,,0.002207172587041506,0.06807478201789274
24.0,,,0.003111111111111111,,,,0.04788888888888889,,0.00176712394987244,0.06234458603121862
25.0,,,,,,,,,0.001415740909477048,0.057125422738935505
26.0,,0.006333333333333333,,,,0.05533333333333333,,,0.0011349227686801022,0.052367731787898664
27.0,,,,,,,,,0.0009103248881473514,0.04802735508537348
28.0,,,0.0022222222222222222,,,,0.033777777777777775,,0.0007305631342682251,0.04406485283893202
29.0,,,,,,,,,0.0005865912152678288,0.040444922179472265
30.0,0.009555555555555555,0.004666666666666667,,0.00011111111111111112,0.04688888888888889,0.042777777777777776,,0.006333333333333333,0.0004712121112164791,0.03713590017418078
31.0,,,,,,,,,0.00037869385764488506,0.03410933678049777
34.0,,0.0026666666666666666,,,,0.03277777777777778,,,,
36.0,,,0.00044444444444444447,,,,0.019333333333333334,,,
38.0,,0.002111111111111111,,,,0.02722222222222222,,,,
42.0,0.0057777777777777775,0.0016666666666666668,,0.0,0.028,0.02288888888888889,,0.0011111111111111111,,
44.0,,,0.00022222222222222223,,,,0.013555555555555555,,,
52.0,,,0.00044444444444444447,,,,0.005888888888888889,,,
60.0,0.003777777777777778,0.0012222222222222222,0.00022222222222222223,0.0,0.01622222222222222,0.009666666666666667,0.006222222222222222,0.0003333333333333333,,
68.0,,,0.0,,,,0.0032222222222222222,,,
76.0,,,0.0003333333333333333,,,,0.0032222222222222222,,,
84.0,,,0.0003333333333333333,,,,0.003,,,
120.0,,,0.00022222222222222223,,,,0.001,,,
