,kls=results&ty=por&q=0.3333333&ds=1.0&daa=500&scale=1.0,kls=results&ty=por&q=0.3333333&ds=1.41&daa=500&scale=1.41,kls=results&ty=por&q=0.3333333&ds=2.0&daa=500&scale=2.0,kls=results&ty=por&q=0.3333333&ds=3.0&daa=500&scale=3.0,kls=results&ty=por&q=0.3333333&ds=4.0&daa=500&scale=4.0,kls=results&ty=por&q=0.3333333&ds=5.0&daa=500&scale=5.0,kls=results&ty=por&q=0.3333333&ds=6.0&daa=500&scale=6.0,kls=results&ty=por&q=0.3333333&ds=7.0&daa=500&scale=7.0,kls=results&ty=por&q=0.3333333&ds=9.0&daa=500&scale=9.0,kls=results&ty=por&q=0.3333333&ds=15.0&daa=500&scale=15.0,kls=results&ty=por&q=0.3333333&ds=20.0&daa=500&scale=20.0,kls=results&ty=por&q=0.3333333&ds=30.0&daa=500&scale=30.0,kls=results&ty=por&q=0.3333333&ds=45.0&daa=500&scale=45.0,kls=results&ty=por&q=0.3333333&ds=60.0&daa=500&scale=60.0,kls=analytical&ty=trad&q=0.3333333&ds=1.0&daa=0&scale=1
120.0,,,,,,,,,,0.0,0.0,0.0,,0.0,
128.0,,,,,0.003,,,,,,,,,,
135.0,,,,,,,,,,,,,0.0,,
138.0,,,,,,,0.0,,,,,,,,
140.0,,,,,,,,,,,0.0,,,,
144.0,,,,,,,,,0.0,,,,,,
150.0,,,,,,,,,,,,0.0,,,
160.0,,,,,,0.002,,,,,0.0,,,,
161.0,,,,,,,,0.0,,,,,,,
165.0,,,,,,,,,,0.0,,,,,
180.0,,,,,,,,,,,,0.0,0.0,0.0,
192.0,,,,,,,0.002,,,,,,,,
207.0,,,,,,,,,0.001,,,,,,
210.0,,,,,,,,,,,,0.0,,,
220.0,,,,,,,,,,,0.0,,,,
224.0,,,,,,,,0.002,,,,,,,
225.0,,,,,,,,,,,,,0.0,,
240.0,,,,,,,,,,0.0,,0.0,,0.0,
270.0,,,,,,,,,,,,,0.0,,
288.0,,,,,,,,,0.0,,,,,,
300.0,,,,,,,,,,,,,,0.0,
315.0,,,,,,,,,,,,,0.0,,
320.0,,,,,,,,,,,0.0,,,,
330.0,,,,,,,,,,,,0.0,,,
345.0,,,,,,,,,,0.0,,,,,
360.0,,,,,,,,,,,,,0.0,0.0,
420.0,,,,,,,,,,,,,,0.0,
460.0,,,,,,,,,,,0.0,,,,
480.0,,,,,,,,,,0.0,,0.0,,0.0,
495.0,,,,,,,,,,,,,0.0,,
660.0,,,,,,,,,,,,,,0.0,
690.0,,,,,,,,,,,,0.0,,,
720.0,,,,,,,,,,,,,0.0,,
960.0,,,,,,,,,,,,,,0.0,
1035.0,,,,,,,,,,,,,0.0,,
1380.0,,,,,,,,,,,,,,0.0,
