,kls=results&ty=por&q=0.48&ds=1.25&daa=20&scale=0.0625,kls=results&ty=por&q=0.48&ds=2.5&daa=20&scale=0.125,kls=results&ty=por&q=0.48&ds=5&daa=20&scale=0.25,kls=results&ty=por&q=0.48&ds=10&daa=20&scale=0.5,kls=results&ty=por&q=0.48&ds=20&daa=20&scale=1,kls=results&ty=trad&q=0.48&ds=20&daa=20&scale=1,kls=analytical&ty=trad&q=0.48&ds=20.0&daa=0&scale=1
1.3125,0.5198,,,,,,
1.35,,,,,,,0.7697526313823124
1.375,,0.6056,,,,,
1.4,,,,,,,0.7656124809803609
1.45,,,,,,,0.7615527677862188
1.5,,,0.6398,0.6428,,,0.7575694331961706
1.55,,,,,,,0.753658754629045
1.6,,,,,,,0.7498173076876496
1.625,,0.582,,,,,
1.65,,,,,,,0.7460419336336462
1.7,,,,,,,0.7423297112910916
1.75,,,0.6174,,,,0.7386779326629146
1.8,,,,,,,0.7350840816774337
1.85,,,,,,,0.7315458155871949
1.875,0.4374,0.5576,,,,,
1.9,,,,,,,0.7280609486262747
1.95,,,,,,,0.7246274375995154
2.0,,,,0.6056,0.6265,0.6260869565217392,0.7212433691315415
2.05,,,,,,,0.7179069483475967
2.1,,,,,,,0.7146164887943536
2.125,,0.5374,,,,,
2.15,,,,,,,0.7113704034385142
2.2,,,,,,,0.7081671966055149
2.25,,,0.5818,,,,0.7050054567409717
2.3,,,,,,,0.7018838498944425
2.35,,,,,,,0.6988011138392545
2.375,,0.5212,,,,,
2.4,,,,,,,0.6957560527540685
2.45,,,,,,,0.6927475324019048
2.5,,,,0.5676,,,0.6897744757508719
2.55,,,,,,,0.6868358589880845
2.6,,,,,,,0.683930707884431
2.625,0.361,0.4968,,,,,
2.65,,,,,,,0.6810580944731385
2.7,,,,,,,0.6782171340096232
2.75,,,0.5436,,,,0.6754069821840234
2.8,,,,,,,0.672626832561187
2.85,,,,,,,0.6698759142258136
2.9,,,,,,,0.6671534896129877
2.95,,,,,,,0.6644588525065547
3.0,,,,0.5306,0.574,0.5460869565217391,0.6617913261897215
3.05,,,,,,,0.6591502617339511
3.1,,,,,,,0.6565350364137087
3.15,,,,,,,0.653945052235912
3.2,,,,,,,0.6513797345740943
3.25,,,0.5112,,,,0.6488385308982977
3.3,,,,,,,0.6463209095926125
3.35,,,,,,,0.6438263588530739
3.4,,,,,,,0.6413543856593331
