,kls=results&ty=por&q=0.44&ds=1&daa=100&scale=1,kls=results&ty=por&q=0.44&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.44&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.44&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.44&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.44&ds=2&daa=100&scale=2.0,kls=results&ty=por&q=0.44&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.44&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.44&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.44&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.44&ds=3&daa=100&scale=3.0,kls=results&ty=trad&q=0.44&ds=1&daa=100&scale=1,kls=results&ty=trad&q=0.44&ds=3&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.44&ds=1&daa=0&scale=1
1.0,0.9085,,,,,,,,,,,0.9009090909090909,,0.88
1.25,,0.9027222222222222,,,,,,,,,,,,
1.5,,,0.896,,,,,,,,,,,
1.75,,,,0.894,,,,,,,,,,
1.9,,,,,0.888,,,,,,,,,
2.0,0.7595,,,,,0.8415,,,,,,0.8463636363636363,,0.820864
2.25,,,,,,,0.8315,,,,,,,
2.5,,0.7541666666666667,,,,,,0.8257777777777778,,,,,,
2.75,,,,,,,,,0.8265,,,,,
2.9,,,,,,,,,,0.827,,,,
3.0,0.645,,0.753,,,,,,,,0.781,0.8009090909090909,0.7990909090909091,0.7771506688
3.5,,,,0.7235,,,,,,,,,,
3.75,,0.6644444444444444,,,,,,,,,,,,
3.8,,,,,0.718,,,,,,,,,
4.0,0.601,,,,,0.7045,,,,,,0.7472727272727273,,0.7412474527744
4.5,,,0.651,,,,0.7015,,,,,,,
5.0,0.523,0.5872222222222222,,,,,,0.6963333333333334,,,,0.7063636363636364,,0.7102845192739226
5.25,,,,0.627,,,,,,,,,,
5.5,,,,,,,,,0.6645,,,,,
5.699999999999999,,,,,0.636,,,,,,,,,
5.8,,,,,,,,,,0.677,,,,
6.0,0.473,,0.548,,,0.638,,,,,0.6485,0.6909090909090909,0.6690909090909091,0.682819158741659
6.25,,0.5195555555555555,,,,,,,,,,,,
6.75,,,,,,,0.626,,,,,,,
7.0,0.436,,,0.572,,,,,,,,0.6427272727272727,,0.6580051210127768
7.5,,0.4762222222222222,0.526,,,,,0.6027777777777777,,,,,,
7.6,,,,,0.531,,,,,,,,,
8.0,,,,,,0.549,,,,,,,,0.6352953136833036
8.25,,,,,,,,,0.595,,,,,
8.7,,,,,,,,,,0.593,,,,
8.75,,0.4318888888888889,,0.501,,,,,,,,,,
9.0,0.357,,0.461,,,,0.534,,,,0.556,0.6218181818181818,0.5827272727272728,0.6143114517108704
9.5,,,,,0.495,,,,,,,,,
10.0,,,,,,0.475,,0.5316666666666666,,,,,,0.594778740370842
10.5,,,0.405,0.452,,,,,,,,,,
11.0,0.305,,,,,,,,0.504,,,0.5336363636363637,,0.5764898720889466
11.25,,0.35655555555555557,,,,,0.505,,,,,,,
11.399999999999999,,,,,0.442,,,,,,,,,
11.6,,,,,,,,,,0.503,,,,
12.0,,,,,,0.434,,,,,0.526,,0.53,0.5592837048093393
12.25,,,,0.407,,,,,,,,,,
12.5,,,,,,,,0.4693333333333333,,,,,,
13.0,0.255,,,,,,,,,,,0.5518181818181818,,0.543031906274841
13.299999999999999,,,,,0.396,,,,,,,,,
13.5,,,0.329,,,,0.434,,,,,,,
13.75,,0.298,,,,,,,0.448,,,,,
14.0,,,,,,0.374,,,,,,,,0.5276302018175318
14.5,,,,,,,,,,0.451,,,,
15.0,0.226,,,,,,,0.42633333333333334,,,0.452,0.4818181818181818,0.4781818181818182,0.5129924219013051
15.75,,,,0.346,,,0.368,,,,,,,
