,kls=results&ty=por&q=0.4&ds=1.25&daa=20&scale=0.125,kls=results&ty=por&q=0.4&ds=2.5&daa=20&scale=0.25,kls=results&ty=por&q=0.4&ds=5&daa=20&scale=0.5,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.4&ds=20&daa=20&scale=2,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10.0&daa=0&scale=1
17.0,,,,0.0026666666666666666,,0.0,0.00019703484089261813
17.5,,,,,,,0.0001585903070453476
18.0,,,,,0.00044444444444444447,,0.00012768921994310567
18.5,,,,,,,0.0001028415319578313
19.0,,,,0.002111111111111111,,0.0,8.285387424999957e-05
19.5,,,,,,,6.676991812837318e-05
20.0,,,,,,,5.382286455679619e-05
21.0,,,0.0057777777777777775,0.0016666666666666668,,0.0,3.500026559533076e-05
22.0,,,,,0.00022222222222222223,,
26.0,,,,,0.00044444444444444447,,
30.0,,,0.003777777777777778,0.0012222222222222222,0.00022222222222222223,0.0,
34.0,,,,,0.0,,
38.0,,,,,0.0003333333333333333,,
42.0,,,,,0.0003333333333333333,,
60.0,,,,,0.00022222222222222223,,
