,kls=results&ty=por&q=0.48&ds=2.5&daa=500&scale=0.25,kls=results&ty=por&q=0.48&ds=5.0&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=10.0&daa=500&scale=1,kls=results&ty=por&q=0.48&ds=20.0&daa=500&scale=2.0,kls=results&ty=por&q=0.48&ds=40.0&daa=500&scale=4.0,kls=analytical&ty=trad&q=0.48&ds=10.0&daa=0&scale=1
0.1,,,,,,0.96
0.2,,,,,,0.940032
0.25,0.8981481481481481,,,,,
0.3,,,,,,0.9250799616
0.4,,,,,,0.9126398656511999
0.5,0.8507407407407407,0.8625925925925926,,,,0.9017721978303282
0.6,,,,,,0.8920069462332058
0.7,,,,,,0.8830697879715192
0.75,0.817037037037037,,,,,
0.8,,,,,,0.8747842762207992
0.9,,,,,,0.8670290372221252
1.0,0.7862962962962963,0.7959259259259259,0.7692592592592593,,,0.8597163638623089
1.1,,,,,,0.8527804394339903
1.2,,,,,,0.8461703773460858
1.25,0.7488888888888889,,,,,
1.3,,,,,,0.8398458699403788
1.4,,,,,,0.8337743428309
1.5,0.7325925925925926,0.7640740740740741,,,,0.8279290234743001
1.6,,,,,,0.8222875888568584
1.7,,,,,,0.8168311932948689
1.75,0.6911111111111111,,,,,
1.8,,,,,,0.8115437534166341
1.9,,,,,,0.8064114117748274
2.0,0.6822222222222222,0.7211111111111111,0.7014814814814815,0.7437037037037038,,0.8014221274032052
2.1,,,,,,0.796565358424493
2.2,,,,,,0.7918318126130124
2.3,,,,,,0.787213248932516
2.4,,,,,,0.7827023178664868
2.5,,0.6925925925925925,,,,0.7782924316563367
2.6,,,,,,0.773977657871967
2.7,,,,,,0.7697526313823124
2.75,0.6381481481481481,,,,,
2.8,,,,,,0.7656124809803609
2.9,,,,,,0.7615527677862188
3.0,,0.6681481481481482,0.664074074074074,,,0.7575694331961706
3.1,,,,,,0.753658754629045
3.2,,,,,,0.7498173076876496
3.3,,,,,,0.7460419336336462
3.4,,,,,,0.7423297112910916
3.5,,0.6425925925925926,,,,0.7386779326629146
3.6,,,,,,0.7350840816774337
3.7,,,,,,0.7315458155871949
3.8,,,,,,0.7280609486262747
3.9,,,,,,0.7246274375995154
4.0,0.5848148148148148,0.6203703703703703,0.6281481481481481,0.6603703703703704,0.6807407407407408,0.7212433691315415
4.1,,,,,,0.7179069483475967
4.2,,,,,,0.7146164887943536
4.3,,,,,,0.7113704034385142
4.4,,,,,,0.7081671966055149
4.5,,,,,,0.7050054567409717
4.6,,,,,,0.7018838498944425
4.7,,,,,,0.6988011138392545
4.8,,,,,,0.6957560527540685
4.9,,,,,,0.6927475324019048
5.0,,,0.6148148148148148,,,0.6897744757508719
5.1,,,,,,0.6868358589880845
5.2,,,,,,0.683930707884431
5.3,,,,,,0.6810580944731385
5.4,,,,,,0.6782171340096232
5.5,,0.5625925925925926,,,,0.6754069821840234
5.6,,,,,,0.672626832561187
5.7,,,,,,0.6698759142258136
5.75,0.4866666666666667,,,,,
5.8,,,,,,0.6671534896129877
5.9,,,,,,0.6644588525065547
