,kls=results&ty=por&q=0.4&ds=1.25&daa=20&scale=0.25,kls=results&ty=por&q=0.4&ds=2.5&daa=20&scale=0.5,kls=results&ty=por&q=0.4&ds=5.0&daa=20&scale=1,kls=results&ty=por&q=0.4&ds=10.0&daa=20&scale=2,kls=results&ty=por&q=0.4&ds=20.0&daa=20&scale=4,kls=results&ty=trad&q=0.4&ds=5.0&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=5.0&daa=0&scale=1
34.0,,,,0.0026666666666666666,,,
36.0,,,,,0.00044444444444444447,,
38.0,,,,0.002111111111111111,,,
42.0,,,0.0057777777777777775,0.0016666666666666668,,0.0,
44.0,,,,,0.00022222222222222223,,
52.0,,,,,0.00044444444444444447,,
60.0,,,0.003777777777777778,0.0012222222222222222,0.00022222222222222223,0.0,
68.0,,,,,0.0,,
76.0,,,,,0.0003333333333333333,,
84.0,,,,,0.0003333333333333333,,
120.0,,,,,0.00022222222222222223,,
