,kls=results&ty=por&q=0.3333333&ds=1.0&daa=500&scale=0.25,kls=results&ty=por&q=0.3333333&ds=1.41&daa=500&scale=0.3525,kls=results&ty=por&q=0.3333333&ds=2.0&daa=500&scale=0.5,kls=results&ty=por&q=0.3333333&ds=3.0&daa=500&scale=0.75,kls=results&ty=por&q=0.3333333&ds=4.0&daa=500&scale=1.0,kls=results&ty=por&q=0.3333333&ds=5.0&daa=500&scale=1.25,kls=results&ty=por&q=0.3333333&ds=6.0&daa=500&scale=1.5,kls=results&ty=por&q=0.3333333&ds=7.0&daa=500&scale=1.75,kls=results&ty=por&q=0.3333333&ds=9.0&daa=500&scale=2.25,kls=results&ty=por&q=0.3333333&ds=15.0&daa=500&scale=3.75,kls=results&ty=por&q=0.3333333&ds=20.0&daa=500&scale=5.0,kls=results&ty=por&q=0.3333333&ds=30.0&daa=500&scale=7.5,kls=results&ty=por&q=0.3333333&ds=45.0&daa=500&scale=11.25,kls=results&ty=por&q=0.3333333&ds=60.0&daa=500&scale=15.0,kls=analytical&ty=trad&q=0.3333333&ds=4.0&daa=0&scale=1
0.25,0.717,,,,,,,,,,,,,,0.6666666
0.3525,,0.712,,,,,,,,,,,,,
0.5,0.437,,0.581,,,,,,,,,,,,0.5185184296296319
0.705,,0.396,,,,,,,,,,,,,
0.75,0.292,,,0.436,,,,,,,,,,,0.4197529876543259
1.0,0.183,,0.356,,0.337,,,,,,,,,,0.34659340466393085
1.0574999999999999,,0.271,,,,,,,,,,,,,
1.25,0.134,,,,,0.283,,,,,,,,,0.2896915096276077
1.41,,0.191,,,,,,,,,,,,,
1.5,0.11,,0.23,0.258,,,0.224,,,,,,,,0.24416999587462518
1.75,0.098,,,,,,,0.183,,,,,,,0.207078393930479
1.7625,,0.126,,,,,,,,,,,,,
2.0,0.094,,0.164,,0.166,,,,,,,,,,0.1764631049676627
2.1149999999999998,,0.111,,,,,,,,,,,,,
2.25,,,,0.153,,,,,0.15,,,,,,0.15095036544095297
2.4675,,0.078,,,,,,,,,,,,,
2.5,,,0.105,,,0.114,,,,,,,,,0.129532264193139
2.75,0.05,,,,,,,,,,,,,,0.11144586848819371
2.82,,0.071,,,,,,,,,,,,,
3.0,,,0.104,0.099,0.112,,0.083,,,,,,,,0.09609983653614795
3.25,,,,,,,,,,,,,,,0.08302729145284737
3.5,,,0.065,,,,,0.066,,,,,,,0.07185417655569082
3.75,,,,0.079,,0.073,,,,0.053,,,,,0.062277221408404415
3.8775,,0.037,,,,,,,,,,,,,
4.0,0.025,,0.052,,0.071,,,,,,,,,,0.05404813443404233
4.25,,,,,,,,,,,,,,,0.04696197656042744
4.5,,,,0.05,,,0.049,,0.031,,,,,,0.040848428896711586
4.75,,,,,,,,,,,,,,,0.035565116365073424
5.0,,,,,0.046,0.034,,,,,0.018,,,,0.03099242504585742
5.25,,,,0.031,,,,0.039,,,,,,,0.027029426100686926
5.5,,,0.028,,,,,,,,,,,,0.023590633537134642
5.64,,0.02,,,,,,,,,,,,,
5.75,0.015,,,,,,,,,,,,,,0.020603399742400552
6.0,,,,0.036,0.039,,0.035,,,,,,,,0.018005805268163644
6.25,,,,,,0.023,,,,,,,,,0.015744936116593444
6.5,,,,,,,,,,,,,,,0.013775467976365752
6.75,,,,,,,,,0.01,,,,,,0.012058495837400485
7.0,,,,,0.025,,,0.011,,,,,,,0.010560561371307009
7.25,,,,,,,,,,,,,,,0.009252840871055823
7.5,,,,,,0.019,0.021,,,0.006,,0.006,,,0.008110464399219586
7.75,,,,,,,,,,,,,,,0.007111942792281445
8.0,0.009,,0.013,,0.031,,,,,,,,,,0.006238683796184863
8.1075,,0.007,,,,,,,,,,,,,
8.25,,,,0.013,,,,,,,,,,,0.00547458221280539
8.5,,,,,,,,,,,,,,,0.0048056717692184225
8.75,,,,,,0.02,,0.005,,,,,,,0.004219828664911551
9.0,,,,,,,0.008,,0.003,,,,,,0.0037065185420415148
9.25,,,,,,,,,,,,,,,0.003256580061775871
