,kls=results&ty=por&q=0.48&ds=1.25&daa=500&scale=0.125,kls=results&ty=por&q=0.48&ds=2.5&daa=500&scale=0.25,kls=results&ty=por&q=0.48&ds=5&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=10&daa=500&scale=1,kls=results&ty=por&q=0.48&ds=20&daa=500&scale=2,kls=results&ty=trad&q=0.48&ds=10&daa=500&scale=1,kls=analytical&ty=trad&q=0.48&ds=10.0&daa=0&scale=1
0.1,,,,,,,0.96
0.125,0.9513888888888888,,,,,,
0.2,,,,,,,0.940032
0.25,0.8881111111111111,0.9093888888888889,,,,,
0.3,,,,,,,0.9250799616
0.375,0.847,,,,,,
0.4,,,,,,,0.9126398656511999
0.5,0.8085555555555556,0.8571111111111112,0.8411111111111111,,,,0.9017721978303282
0.6,,,,,,,0.8920069462332058
0.625,0.7848888888888889,,,,,,
0.7,,,,,,,0.8830697879715192
0.75,0.7625555555555555,0.8257777777777778,,,,,
0.8,,,,,,,0.8747842762207992
0.875,0.7428888888888889,,,,,,
0.9,,,,,,,0.8670290372221252
1.0,,0.7883333333333333,0.7977222222222222,0.7710555555555556,,0.7712777777777777,0.8597163638623089
1.1,,,,,,,0.8527804394339903
1.125,0.7001111111111111,,,,,,
1.2,,,,,,,0.8461703773460858
1.25,,0.766,,,,,
1.3,,,,,,,0.8398458699403788
1.375,0.643,,,,,,
1.4,,,,,,,0.8337743428309
1.5,,0.7332222222222222,0.7582222222222222,,,,0.8279290234743001
1.6,,,,,,,0.8222875888568584
1.625,0.6277777777777778,,,,,,
1.7,,,,,,,0.8168311932948689
1.75,,0.7115555555555556,,,,,
1.8,,,,,,,0.8115437534166341
1.875,0.6038888888888889,,,,,,
1.9,,,,,,,0.8064114117748274
2.0,,,0.7282222222222222,0.7078333333333333,0.7603333333333333,0.7637222222222222,0.8014221274032052
2.1,,,,,,,0.796565358424493
2.125,0.5645555555555556,,,,,,
2.2,,,,,,,0.7918318126130124
2.25,,0.6775555555555556,,,,,
2.3,,,,,,,0.787213248932516
2.375,0.5524444444444444,,,,,,
2.4,,,,,,,0.7827023178664868
2.5,,,0.7033333333333334,,,,0.7782924316563367
2.6,,,,,,,0.773977657871967
2.625,0.5308888888888889,,,,,,
2.7,,,,,,,0.7697526313823124
2.75,,0.6383333333333333,,,,,
2.8,,,,,,,0.7656124809803609
2.9,,,,,,,0.7615527677862188
3.0,,,0.6686666666666666,0.6743333333333333,,0.728,0.7575694331961706
3.1,,,,,,,0.753658754629045
3.2,,,,,,,0.7498173076876496
3.25,,0.5978888888888889,,,,,
3.3,,,,,,,0.7460419336336462
3.4,,,,,,,0.7423297112910916
3.5,,,0.6498888888888888,,,,0.7386779326629146
3.6,,,,,,,0.7350840816774337
3.7,,,,,,,0.7315458155871949
3.75,0.43977777777777777,0.5744444444444444,,,,,
3.8,,,,,,,0.7280609486262747
3.9,,,,,,,0.7246274375995154
4.0,,,,0.6436666666666667,0.6742222222222222,0.686,0.7212433691315415
4.1,,,,,,,0.7179069483475967
4.2,,,,,,,0.7146164887943536
4.25,,0.5475555555555556,,,,,
4.3,,,,,,,0.7113704034385142
4.4,,,,,,,0.7081671966055149
4.5,,,0.6104444444444445,,,,0.7050054567409717
4.6,,,,,,,0.7018838498944425
4.7,,,,,,,0.6988011138392545
4.75,,0.5332222222222223,,,,,
4.8,,,,,,,0.6957560527540685
4.9,,,,,,,0.6927475324019048
5.0,,,,0.6056666666666667,,0.6512222222222223,0.6897744757508719
5.1,,,,,,,0.6868358589880845
5.2,,,,,,,0.683930707884431
5.25,0.36188888888888887,0.5101111111111111,,,,,
5.3,,,,,,,0.6810580944731385
5.4,,,,,,,0.6782171340096232
5.5,,,0.5723333333333334,,,,0.6754069821840234
5.6,,,,,,,0.672626832561187
5.7,,,,,,,0.6698759142258136
5.8,,,,,,,0.6671534896129877
5.9,,,,,,,0.6644588525065547
6.0,,,,0.5804444444444444,0.626,0.6146666666666667,0.6617913261897215
6.1,,,,,,,0.6591502617339511
6.2,,,,,,,0.6565350364137087
6.3,,,,,,,0.653945052235912
6.4,,,,,,,0.6513797345740943
6.5,,,0.5445555555555556,,,,0.6488385308982977
6.6,,,,,,,0.6463209095926125
6.7,,,,,,,0.6438263588530739
6.8,,,,,,,0.6413543856593331
6.9,,,,,,,0.6389045148141483
7.0,,,,0.5487777777777778,,0.5758888888888889,0.6364762880452999
7.1,,,,,,,0.6340692631650391
7.2,,,,,,,0.6316830132826179
7.3,,,,,,,0.6293171260658601
7.4,,,,,,,0.6269712030480821
7.5,0.28144444444444444,0.4262222222222222,0.5133333333333333,,,,0.6246448589770037
7.6,,,,,,,0.6223377212025762
7.7,,,,,,,0.6200494291009168
7.8,,,,,,,0.6177796335317777
7.9,,,,,,,0.6155279963271917
8.0,,,,,0.5845555555555556,,0.6132941898091271
8.1,,,,,,,0.6110778963341641
8.2,,,,,,,0.6088788078633622
8.3,,,,,,,0.6066966255556336
8.4,,,,,,,0.6045310593830674
8.5,,,0.489,,,,0.6023818277667743
8.6,,,,,,,0.6002486572319242
8.7,,,,,,,0.5981312820807556
8.8,,,,,,,0.5960294440824203
8.9,,,,,,,0.5939428921786183
9.0,,,,0.5131111111111111,,0.5314444444444445,0.5918713822040464
9.1,,,,,,,0.5898146766207596
9.2,,,,,,,0.5877725442656057
9.3,,,,,,,0.5857447601099559
9.4,,,,,,,0.5837311050310034
9.5,,,0.4678888888888889,,,,0.5817313655939584
9.6,,,,,,,0.579745333844507
9.7,,,,,,,0.5777728071109518
9.8,,,,,,,0.5758135878154838
