,kls=results&ty=por&q=0.48&ds=10&daa=500&scale=1,kls=results&ty=trad&q=0.48&ds=10&daa=500&scale=1,kls=analytical&ty=trad&q=0.48&ds=10&daa=0&scale=1
0.1,,,0.96
0.2,,,0.940032
0.3,,,0.9250799616
0.4,,,0.9126398656511999
0.5,,,0.9017721978303282
0.6,,,0.8920069462332058
0.7,,,0.8830697879715192
0.8,,,0.8747842762207992
0.9,,,0.8670290372221252
1.0,0.7710555555555556,0.7712777777777777,0.8597163638623089
1.1,,,0.8527804394339903
1.2,,,0.8461703773460858
1.3,,,0.8398458699403788
1.4,,,0.8337743428309
1.5,,,0.8279290234743001
1.6,,,0.8222875888568584
1.7,,,0.8168311932948689
1.8,,,0.8115437534166341
1.9,,,0.8064114117748274
2.0,0.7078333333333333,0.7637222222222222,0.8014221274032052
2.1,,,0.796565358424493
2.2,,,0.7918318126130124
2.3,,,0.787213248932516
2.4,,,0.7827023178664868
2.5,,,0.7782924316563367
2.6,,,0.773977657871967
2.7,,,0.7697526313823124
2.8,,,0.7656124809803609
2.9,,,0.7615527677862188
3.0,0.6743333333333333,0.728,0.7575694331961706
3.1,,,0.753658754629045
3.2,,,0.7498173076876496
3.3,,,0.7460419336336462
3.4,,,0.7423297112910916
3.5,,,0.7386779326629146
3.6,,,0.7350840816774337
3.7,,,0.7315458155871949
3.8,,,0.7280609486262747
3.9,,,0.7246274375995154
4.0,0.6436666666666667,0.686,0.7212433691315415
4.1,,,0.7179069483475967
4.2,,,0.7146164887943536
4.3,,,0.7113704034385142
4.4,,,0.7081671966055149
4.5,,,0.7050054567409717
4.6,,,0.7018838498944425
4.7,,,0.6988011138392545
4.8,,,0.6957560527540685
4.9,,,0.6927475324019048
5.0,0.6056666666666667,0.6512222222222223,0.6897744757508719
5.1,,,0.6868358589880845
5.2,,,0.683930707884431
5.3,,,0.6810580944731385
5.4,,,0.6782171340096232
5.5,,,0.6754069821840234
5.6,,,0.672626832561187
5.7,,,0.6698759142258136
5.8,,,0.6671534896129877
5.9,,,0.6644588525065547
6.0,0.5804444444444444,0.6146666666666667,0.6617913261897215
6.1,,,0.6591502617339511
6.2,,,0.6565350364137087
6.3,,,0.653945052235912
6.4,,,0.6513797345740943
6.5,,,0.6488385308982977
6.6,,,0.6463209095926125
6.7,,,0.6438263588530739
6.8,,,0.6413543856593331
6.9,,,0.6389045148141483
7.0,0.5487777777777778,0.5758888888888889,0.6364762880452999
7.1,,,0.6340692631650391
7.2,,,0.6316830132826179
7.3,,,0.6293171260658601
7.4,,,0.6269712030480821
7.5,,,0.6246448589770037
7.6,,,0.6223377212025762
7.7,,,0.6200494291009168
7.8,,,0.6177796335317777
7.9,,,0.6155279963271917
8.0,,,0.6132941898091271
8.1,,,0.6110778963341641
8.2,,,0.6088788078633622
8.3,,,0.6066966255556336
8.4,,,0.6045310593830674
8.5,,,0.6023818277667743
8.6,,,0.6002486572319242
8.7,,,0.5981312820807556
8.8,,,0.5960294440824203
8.9,,,0.5939428921786183
9.0,0.5131111111111111,0.5314444444444445,0.5918713822040464
9.1,,,0.5898146766207596
9.2,,,0.5877725442656057
9.3,,,0.5857447601099559
9.4,,,0.5837311050310034
9.5,,,0.5817313655939584
9.6,,,0.579745333844507
9.7,,,0.5777728071109518
9.8,,,0.5758135878154838
9.9,,,0.5738674832940751
10.0,,,0.5719343056245177
10.2,,,0.5681060018829123
10.5,,,0.5624560546048447
10.8,,,0.556913141400875
11.0,0.48088888888888887,0.4817777777777778,
11.1,,,0.5514730650717867
11.4,,,0.5461319030564618
11.7,,,0.5408859825204155
12.0,,,0.5357318582910916
12.3,,,0.5306662932513189
12.6,,,0.5256862408635747
12.9,,,0.52078882954806
13.0,0.43755555555555553,0.44733333333333336,
13.2,,,0.5159713486792101
13.5,,,0.511231235999835
13.8,,,0.506566066280908
14.1,,,0.5019735410791824
14.4,,,0.49745147946513524
14.7,,,0.49299780961089623
15.0,0.401,0.4101111111111111,0.48861056114237367
15.3,,,0.4842878581721597
15.6,,,0.48002791294037084
15.9,,,0.4758290199996229
16.2,,,0.47168955088812226
16.5,,,0.46760794924155036
16.8,,,0.46358272630021746
17.0,0.3801111111111111,0.38055555555555554,
17.1,,,0.45961245677297613
17.4,,,0.4556957750237546
17.7,,,0.45183137155036557
18.0,,,0.44801798972857476
18.3,,,0.44425442279731553
18.6,,,0.4405395110634922
18.9,,,0.4368721393070597
19.0,0.35777777777777775,0.3511111111111111,
19.2,,,0.43325123436904545
19.5,,,0.42967576290692977
19.8,,,0.42614472930334846
20.5,,,0.4180731364401211
21.0,0.3422222222222222,0.30933333333333335,0.41244627580794746
21.5,,,0.4069304312910099
22.0,,,0.40152191133327075
22.5,,,0.39621722226073186
23.0,,,0.3910130533483972
23.5,,,0.385906263323344
24.0,,,0.3808938681377888
24.5,,,0.37597302986832526
25.0,,,0.37114104661642355
25.5,,,0.36639534330136847
26.0,,,0.36173346325055966
26.5,,,0.3571530605038752
27.0,,,0.35265189275891506
27.5,,,0.3482278148926752
28.0,,,0.3438787730027436
28.5,,,0.33960279891765377
29.0,,,0.3353980051317188
29.5,,,0.3312625801246297
30.0,0.2578888888888889,0.21055555555555555,0.327194784030432
30.5,,,0.3231929446242905
31.0,,,0.3192554535987876
