$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
20500,137221924.7857143,193814547.72727275,192051848.57142857,276563285.99999994,274716996.1734694,444996126.03305787,721132114.9553572,1835609019.8863635
20600,139187483.4190476,196590744,194803064.22857144,280307593.3818181,278756887.75510204,451540082.64462805,731736830.3571428,1862602840.9090905
20700,141171714.12857145,199393269.3818182,197580411.77142859,284075155.30909085,282836192.6020408,458147882.23140484,742445005.5803572,1889860014.2045453
20800,143174705.14285716,202222376.4363636,200384016.60952383,287865971.7818181,286955102.04081637,464819834.7107438,753257142.8571429,1917381818.1818178
20900,145196544.6904762,205078037.73333332,203214057.93333337,291680042.79999995,291113807.39795923,471556250,764173744.4196429,1945169531.2499998
21000,147237321.00000003,207960518.18181816,206070602,295517368.3636364,295312500,478357438.0165289,775195312.5,1973224431.8181818
21100,149297145.40952384,210869838.5757576,208953772.23809528,299377948.47272724,299551371.1734694,485223708.6776859,786322349.3303572,2001547798.2954543
21200,151376104.45714286,213806166.76363638,211863692.07619047,303261783.1272727,303830612.244898,492155371.9008264,797555357.1428572,2030140909.090909
21300,153474265.37142858,216769645.60000002,214800527.54285717,307168872.3272727,308150414.5408164,499152737.60330576,808894838.1696428,2059005042.6136363
21400,155591716.38095242,219760319.70909092,217763100.32380953,311099216.07272726,312510969.38775516,506216115.7024793,820341294.6428572,2088141477.272727
21500,157728545.71428573,222778456.3333333,220744863.47619048,315052814.3636364,316912468.11224496,513345816.1157024,831895228.7946429,2117551491.4772725
21600,159884841.60000002,225822600,223744898.05714285,319029667.1999999,321355102.04081637,520542148.76033056,843557142.8571429,2147236363.6363635
21700,162060692.26666668,228886175,226763204.0666667,323029774.5818181,325839062.50000006,527805423.553719,855327539.0625,2177197372.1590905
21800,164256185.94285715,231968350,229799781.5047619,327053136.5090909,330364540.81632656,535135950.4132232,867206919.6428572,2207435795.4545455
21900,166471422.32857144,235069125,232854630.37142858,331099752.98181814,334931728.3163266,542534039.2561983,879195786.8303572,2237952911.931818
22000,168706512.85714287,238188500,235927750.6666667,335169623.99999994,339540816.32653064,549999999.9999999,891294642.8571428,2268749999.9999995
22100,170961511.50000003,241326475,239019142.3904762,339262749.56363636,344191996.1734694,557534142.5619835,903503989.9553572,2299828338.0681815
22200,173236506.48571432,244483050,242128805.54285717,343379129.6727272,348885459.18367344,565136776.8595041,915824330.3571429,2331189204.5454545
22300,175531586.04285717,247658225,245256740.12380952,347518764.3272727,353621396.6836735,572808212.8099173,928256166.2946429,2362833877.8409085
22400,177846838.40000004,250852000,248402946.13333336,351681653.5272727,358400000.00000006,580548760.3305784,940800000,2394763636.363636
22500,180182351.78571433,254064375,251567423.57142857,355867797.27272725,363221460.45918363,588358729.3388429,953456333.7053572,2426979758.522727
22600,182538214.42857143,257295350,254750172.43809524,360077195.56363636,368085969.38775516,596238429.752066,966225669.6428572,2459483522.7272725
22700,184914514.55714288,260544925,257951192.73333338,364309848.3999999,372993718.11224496,604188171.4876033,979108510.0446428,2492276207.386364
22800,187311387.08571425,263813100,261170484.45714286,368565755.7818181,377944897.9591837,612208264.4628099,992105357.1428572,2525359090.909091
22900,189728875.05714285,267099875,264408047.60952383,385194397.78787875,382939700.25510204,620299018.5950414,1005216713.1696429,2558733451.7045455
23000,192167065.61904764,270405250,267663882.1904762,390086014.8484849,387978316.32653064,628460743.8016529,1018443080.3571429,2592400568.181818
23100,194626047,273729225,270937988.20000005,395005541,393060937.5,636693749.9999999,1031784960.9375,2626361718.7499995
23200,197105907.4285714,277071800,274230365.6380952,399952976.24242425,398187755.1020409,644998347.107438,1045242857.1428573,2660618181.8181815
23300,199606735.13333338,280432975,277541014.5047619,404928320.57575756,403358960.45918363,653374845.0413222,1058817271.2053572,2695171235.7954545
23400,202128618.34285715,283812750,280869934.8,409931574,408574744.89795923,661823553.7190083,1072508705.3571428,2730022159.0909085
23500,204671645.2857143,287211125,284217126.5238095,414962736.51515156,413835299.744898,670344783.0578512,1086317661.830357,2765172230.113636
23600,207235939.02857143,290628100,287582589.6761905,420021808.1212121,419140816.32653064,678938842.9752065,1100244642.857143,2800622727.272727
23700,209821567.92857143,294063675,290966324.2571429,425108788.81818175,424491485.96938777,687606043.3884296,1114290150.6696432,2836374928.9772725
23800,212428605.66666666,297517850,294368330.2666667,430223678.6060606,429887500,696346694.2148759,1128454687.5,2872430113.636364
23900,215057140.4714286,300990625,297788607.7047619,435366477.48484844,435329049.744898,705161105.3719008,1142738755.580357,2908789559.659091
24000,217707260.57142857,304482000,301227156.5714286,440537185.45454544,440816326.5306123,714049586.7768594,1157142857.142857,2945454545.4545455
24100,220375395.58571428,307991975,304683976.8666667,445735802.51515156,446349521.6836735,723012448.3471073,1171667494.419643,2982426349.431818
24200,223058144.8857143,311520550,308159068.5904762,450962328.6666666,451928826.53061223,732049999.9999999,1186313169.642857,3019706249.9999995
24300,225755508.4714286,315067725,311652431.74285716,456216763.90909094,457554432.3979592,741162551.6528926,1201080385.044643,3057295525.5681815
24400,228467486.34285712,318633500,315164066.3238095,461499108.24242425,463226530.61224496,750350413.2231404,1215969642.8571432,3095195454.5454545
24500,231194078.5,322217875,318693972.3333334,466809361.6666666,468945312.5,759613894.628099,1230981445.3125,3133407315.3409085
24600,233935284.94285715,325820850,322242149.7714286,472147524.18181825,474710969.38775504,768953305.785124,1246116294.642857,3171932386.3636355
24700,236691105.67142856,329442425,325808598.63809526,477513595.7878788,480523692.60204077,778368956.6115702,1261374693.080357,3210771946.022727
24800,239461540.68571427,333082600,329393318.9333334,482907576.48484844,486383673.46938777,787861157.0247934,1276757142.857143,3249927272.7272725
24900,242246589.9857143,342486950.39999986,332996310.6571429,488329466.2727273,492291103.3163266,797430216.9421486,1292264146.205357,3289399644.8863635
25000,245046253.5714286,346541187.8787879,336617573.8095238,493779265.1515151,498246173.46938777,807076446.2809917,1307896205.357143,3329190340.909091
25100,247860531.44285712,350627199.9030302,340257108.39047617,499256973.1212121,504249075.25510204,816800154.9586776,1323653822.5446432,3369300639.2045455
25200,250689423.6,354745317.81818175,343914914.4,504762590.1818182,510300000,826601652.8925619,1339537500,3409731818.1818175
25300,253532930.04285714,358895465.3333333,347590991.8380952,510296116.3333333,516399139.03061223,836481249.9999999,1355547739.955357,3450485156.25
25400,256391050.77142856,363077895.46666664,351285340.7047619,515857551.5757575,522546683.67346936,846439256.1983471,1371685044.642857,3491561931.818181
25500,259263785.78571427,367292677.8181818,354997961.00000006,521446895.90909094,528742825.255102,856475981.4049585,1387949916.294643,3532963423.295454
25600,262151135.08571428,371539918.3515151,368182608.45714295,527064149.3333333,534987755.1020409,866591735.5371898,1404342857.142857,3574690909.0909085
25700,265053098.6714286,375819834.88484854,372424170.42857146,532709311.8484849,541281664.5408164,876786828.5123966,1420864369.419643,3616745667.613636
25800,267969676.5428571,380132396.50909096,376698078.4285714,538382383.4545455,547624744.8979592,887061570.2479337,1437514955.3571432,3659128977.272727
25900,270900868.7,384477934.06060606,380997898.50000006,544083364.1515151,554017187.5,897416270.6611571,1454295117.1875,3701842116.4772725
26000,273846675.14285713,388856378.1818182,385319647.1428572,549812253.9393939,560459183.6734694,907851239.6694213,1471205357.142857,3744886363.636364
26100,276807095.8714286,393267972.8727272,389663324.35714287,555569052.8181818,566950924.744898,918366787.1900827,1488246177.455357,3788262997.159091
26200,279782130.8857143,397712798.83636355,394028930.1428572,561353760.7878788,573492602.0408165,928963223.1404959,1505418080.357143,3831973295.4545455
26300,282771780.1857143,402190948.84848475,398416464.50000006,567166377.8484849,580084406.8877552,939640857.4380165,1522721568.080357,3876018536.9318175
26400,285776043.7714286,406702655.99999994,402825927.42857146,573006904,586726530.6122448,950400000,1540157142.857143,3920400000
26500,288794921.64285713,411247878.7878788,407257318.9285714,578875339.2424242,593419164.5408164,961240960.7438015,1557725306.9196432,3965118963.068181
26600,291828413.8,415826947.20000005,411710639.00000006,584771683.5757576,600162500,972164049.5867767,1575426562.5000002,4010176704.545454
26700,294876520.24285716,420439799.49090904,416185887.6428572,590695937,606956728.3163265,983169576.4462811,1593261411.830357,4055574502.8409085
26800,297939240.9714286,425086669.9636364,420683064.85714287,596648099.5151515,613802040.8163265,994257851.2396694,1611230357.142857,4101313636.363636
26900,301016575.9857143,429767651.10303026,425202170.6428572,602628171.1212121,620698628.8265307,1005429183.8842975,1629333900.669643,4147395383.522727
27000,304108525.28571427,434482821.81818175,429743205.00000006,608636151.8181818,627646683.6734694,1016683884.2975205,1647572544.642857,4193821022.7272725
27100,307215088.8714286,439232431.1515151,434306167.92857146,614672041.6060606,634646396.6836735,1028022262.3966942,1665946791.294643,4240591832.386364
27200,310336266.7428571,444014725.43030304,438891059.4285714,620735840.4848485,641697959.1836736,1039444628.0991735,1684457142.8571432,4287709090.909091
27300,313472058.9,448821377.96363634,443497879.50000006,626827548.4545454,648801562.5,1050951291.322314,1703104101.5625002,4335174076.704545
27400,321214330.8761905,453651285.04242426,448126628.1428572,632947165.5151515,655957397.9591837,1062542561.9834709,1721888169.642857,4382988068.181817
27500,324675237.85714287,458504446.6666666,452777305.35714287,639094691.6666666,663165656.8877553,1074218750,1740809849.330357,4431152343.75
27600,328160906.1714286,463380862.8363636,457449911.1428572,665307394.0363636,670426530.6122448,1085980165.289256,1759869642.857143,4479668181.818181
27700,331671424.0476191,468280533.5515151,462144445.50000006,672227991.709091,677740210.4591837,1097827117.768595,1779068052.455357,4528536860.795454
27800,335206892.95238096,473203458.8121212,466860908.42857146,679181153.0181818,685106887.755102,1109759917.3553717,1798405580.357143,4577759659.090909
27900,338767433.14285713,478149638.6181818,471599299.92857146,686166877.9636364,692526753.8265306,1121778873.9669418,1817882728.7946432,4627337855.113637
28000,342353088,483119072.96969694,476359620,693185166.5454545,700000000,1133884297.520661,1837500000.0000002,4677272727.272727
28100,345963945.75238097,488111761.8666666,481141868.6428572,700236018.7636364,707526817.6020409,1146076497.9338844,1857257896.205357,4727565553.977272
28200,349600094.62857145,493127705.30909085,485946045.85714287,707319434.6181817,715107397.9591837,1158355785.1239667,1877156919.642857,4778217613.636363
28300,353261622.85714287,498166903.2969696,490772151.64285725,714435414.1090909,722741932.3979592,1170722469.0082643,1897197572.544643,4829230184.659091
28400,356948618.66666675,503229355.830303,495620186,721583957.2363636,730430612.244898,1183176859.504132,1917380357.1428573,4880604545.454545
28500,360661170.2857144,508315062.9090909,500490148.92857146,728765064,738173628.8265306,1195719266.5289252,1937705775.669643,4932341974.431817
28600,364399365.94285715,513424024.5333333,505382040.42857146,735978734.4,745971173.4693878,1208350000,1958174330.3571432,4984443750
28700,368163351.2666668,518556240.7030303,510295860.5,743224968.4363637,753823437.5,1221069369.8347106,1978786523.4375,5036911150.568181
28800,371953160.2285714,523711711.4181818,515231609.1428572,750503766.1090909,761730612.244898,1233877685.950413,1999542857.142857,5089745454.545454
28900,375768878.3333333,528890436.6787879,520189286.3571428,757815127.4181818,769692889.0306123,1246775258.2644627,2020443833.705357,5142947940.340909
29000,379610593.8095238,534092416.4848485,525168892.14285713,765159052.3636364,777710459.1836736,1259762396.6942146,2041489955.3571432,5196519886.363637
29100,383478394.8857143,539317650.8363637,530170426.5,772535540.9454545,785783514.0306123,1272839411.1570246,2062681724.3303573,5250462571.022727
29200,387372369.7904762,544566139.7333333,535193889.42857134,779944593.1636362,793912244.8979591,1286006611.5702481,2084019642.857143,5304777272.727272
29300,391292606.75238097,549837883.1757575,540239280.9285715,787386209.0181817,802096843.1122448,1299264307.8512394,2105504213.1696432,5359465269.886363
29400,395239194,555132881.1636362,545306601,794860388.5090908,810337500,1312612809.9173555,2127135937.5,5414527840.909091
29500,399212261.9047619,560451133.6969697,550395849.6428571,802367131.6363635,818634406.8877553,1326052427.6859505,2148915318.080357,5469966264.204545
29600,403211876.5714286,565792640.7757576,555507026.8571428,809906438.3999999,826987755.1020409,1339583471.0743802,2170842857.142857,5525781818.181817
29700,407238106.62857145,571157402.4,560640132.6428571,817478308.8,835397735.9693878,1353206250,2192919056.919643,5581975781.249999
29800,411291040.30476195,576545418.5696969,565795167,825082742.8363636,843864540.8163266,1366921074.3801653,2215144419.6428576,5638549431.818181
29900,415370765.82857144,581956689.2848483,570972129.9285713,832719740.5090908,852388360.9693878,1380728254.1322312,2237519447.544643,5695504048.295454
30000,419477371.4285714,587391214.5454545,576171021.4285715,840389301.8181816,860969387.755102,1394628099.1735537,2260044642.857143,5752840909.090909
