100.0,4.0,8.928571428571429
133.0,4.0,11.875
167.0,7.0,14.910714285714286
200.0,8.0,17.857142857142858
233.0,8.0,20.803571428571427
267.0,8.0,23.839285714285715
300.0,8.0,26.785714285714285
333.0,12.0,29.732142857142858
367.0,13.0,32.767857142857146
400.0,14.0,35.714285714285715
433.0,15.0,38.660714285714285
467.0,16.0,41.69642857142857
500.0,16.0,44.642857142857146
533.0,16.0,47.589285714285715
567.0,16.0,50.625
600.0,16.0,53.57142857142857
633.0,16.0,56.517857142857146
667.0,16.0,59.55357142857143
700.0,16.0,62.5
733.0,16.0,65.44642857142857
767.0,24.0,68.48214285714286
800.0,25.0,71.42857142857143
833.0,26.0,74.375
867.0,27.0,77.41071428571429
900.0,28.0,80.35714285714286
933.0,29.0,83.30357142857143
967.0,30.0,86.33928571428571
1000.0,31.0,89.28571428571429
1033.0,32.0,92.23214285714286
1067.0,32.0,95.26785714285714
1100.0,32.0,98.21428571428571
1133.0,32.0,101.16071428571429
1167.0,32.0,104.19642857142857
1200.0,32.0,107.14285714285714
1233.0,32.0,110.08928571428571
1267.0,32.0,113.125
1300.0,32.0,116.07142857142857
1333.0,32.0,119.01785714285714
1367.0,32.0,122.05357142857143
1400.0,32.0,125.0
1433.0,32.0,127.94642857142857
1467.0,32.0,130.98214285714286
1500.0,32.0,133.92857142857142
1533.0,32.0,136.875
1567.0,32.0,139.91071428571428
1600.0,32.0,142.85714285714286
1633.0,32.0,145.80357142857142
1667.0,32.0,148.83928571428572
1700.0,32.0,151.78571428571428
1733.0,32.0,154.73214285714286
1767.0,32.0,157.76785714285714
1800.0,49.0,160.71428571428572
1833.0,50.0,163.66071428571428
1867.0,51.0,166.69642857142858
1900.0,52.0,169.64285714285714
1933.0,53.0,172.58928571428572
1967.0,53.0,175.625
2000.0,54.0,178.57142857142858
2033.0,55.0,181.51785714285714
2067.0,56.0,184.55357142857142
2100.0,57.0,187.5
2133.0,58.0,190.44642857142858
2167.0,59.0,193.48214285714286
2200.0,60.0,196.42857142857142
2233.0,61.0,199.375
2267.0,62.0,202.41071428571428
2300.0,62.0,205.35714285714286
2333.0,63.0,208.30357142857142
2367.0,64.0,211.33928571428572
2400.0,64.0,214.28571428571428
2433.0,64.0,217.23214285714286
2467.0,64.0,220.26785714285714
2500.0,64.0,223.21428571428572
2533.0,64.0,226.16071428571428
2567.0,64.0,229.19642857142858
2600.0,64.0,232.14285714285714
2633.0,64.0,235.08928571428572
2667.0,64.0,238.125
2700.0,64.0,241.07142857142858
2733.0,64.0,244.01785714285714
2767.0,64.0,247.05357142857142
2800.0,64.0,250.0
2833.0,64.0,252.94642857142858
2867.0,64.0,255.98214285714286
2900.0,64.0,258.92857142857144
2933.0,64.0,261.875
2967.0,64.0,264.9107142857143
3000.0,64.0,267.85714285714283
3033.0,64.0,270.80357142857144
3067.0,64.0,273.8392857142857
3100.0,64.0,276.7857142857143
